word,arpabet,syllables,tokenized_word,hamming_distance,word_frequency,phon_vec
lycos,"['L', 'AY', 'K', 'OW', 'S']","['ly', 'c', 'os']","['l', '##y', '##cos']",0.8,5.62e-08,"[25, 6, 24, 12, 31, 0, 0, 0]"
notify,"['N', 'OW', 'T', 'AH', 'F', 'AY']","['no', 'ti', 'fy']","['not', '##ify']",0.5,5.37e-06,"[27, 12, 33, 3, 20, 6, 0, 0]"
remedies,"['R', 'EH', 'M', 'AH', 'D', 'IY', 'Z']","['rem', 'ed', 'ies']","['re', '##med', '##ies']",0.5,6.76e-06,"[30, 7, 26, 3, 18, 11, 38, 0]"
bestiality,"['B', 'EH', 'S', 'CH', 'AE', 'L', 'IH', 'T', 'IY']","['bes', 'ti', 'al', 'ity']","['best', '##ial', '##ity']",0.5,4.17e-07,"[16, 7, 31, 17, 2, 25, 10, 33]"
zimbabwe,"['Z', 'IH', 'M', 'B', 'AA', 'B', 'W', 'EY']","['zi', 'm', 'b', 'ab', 'we']",['zimbabwe'],0.5,5.37e-06,"[38, 10, 26, 16, 1, 16, 36, 9]"
editorials,"['EH', 'D', 'AH', 'T', 'AO', 'R', 'IY', 'AH', 'L', 'Z']","['ed', 'it', 'or', 'i', 'als']","['editorial', '##s']",0.5,1.05e-06,"[7, 18, 3, 33, 4, 30, 11, 3]"
identifier,"['AY', 'D', 'EH', 'N', 'T', 'AH', 'F', 'AY', 'ER']","['iden', 'ti', 'fi', 'er']","['id', '##ent', '##ifier']",0.5,1.32e-06,"[6, 18, 7, 27, 33, 3, 20, 6]"
liabilities,"['L', 'AY', 'AH', 'B', 'IH', 'L', 'AH', 'T', 'IY', 'Z']","['li', 'ab', 'il', 'it', 'ies']","['lia', '##bilities']",0.45454545454545453,3.63e-06,"[25, 6, 3, 16, 10, 25, 3, 33]"
annotated,"['AE', 'N', 'AH', 'T', 'EY', 'T', 'IH', 'D']","['an', 'not', 'ated']","['ann', '##ota', '##ted']",0.4444444444444444,1.91e-06,"[2, 27, 3, 33, 9, 33, 10, 18]"
appraisal,"['AH', 'P', 'R', 'EY', 'Z', 'AH', 'L']","['ap', 'prais', 'al']","['app', '##rai', '##sal']",0.4444444444444444,2.69e-06,"[3, 29, 30, 9, 38, 3, 25, 0]"
editorial,"['EH', 'D', 'AH', 'T', 'AO', 'R', 'IY', 'AH', 'L']","['ed', 'it', 'or', 'i', 'al']",['editorial'],0.4444444444444444,1.29e-05,"[7, 18, 3, 33, 4, 30, 11, 3]"
