word,arpabet,syllables,tokenized_word,hamming_distance,word_frequency,phon_vec
zimbabwe,"['Z', 'IH', 'M', 'B', 'AA', 'B', 'W', 'EY']","['zi', 'm', 'b', 'ab', 'we']","['z', 'imbabwe']",0.625,5.37e-06,"[38, 10, 26, 16, 1, 16, 36, 9]"
xerox,"['Z', 'IH', 'R', 'AA', 'K', 'S']","['xer', 'ox']","['x', 'ero', 'x']",0.6,1.02e-06,"[38, 10, 30, 1, 24, 31, 0, 0]"
memphis,"['M', 'EH', 'M', 'F', 'AH', 'S']","['mem', 'ph', 'is']","['m', 'emp', 'his']",0.5714285714285714,7.76e-06,"[26, 7, 26, 20, 3, 31, 0, 0]"
pioneer,"['P', 'AY', 'AH', 'N', 'IH', 'R']","['pi', 'on', 'eer']","['p', 'ione', 'er']",0.5714285714285714,8.13e-06,"[29, 6, 3, 27, 10, 30, 0, 0]"
houston,"['HH', 'Y', 'UW', 'S', 'T', 'AH', 'N']","['hou', 's', 'ton']","['ho', 'ust', 'on']",0.5714285714285714,2.63e-05,"[22, 37, 15, 31, 33, 3, 27, 0]"
studios,"['S', 'T', 'UW', 'D', 'IY', 'OW', 'Z']","['stu', 'di', 'os']","['st', 'ud', 'ios']",0.5714285714285714,1.26e-05,"[31, 33, 15, 18, 11, 12, 38, 0]"
hypothetical,"['HH', 'AY', 'P', 'AH', 'TH', 'EH', 'T', 'AH', 'K', 'AH', 'L']","['hy', 'po', 'thet', 'ic', 'al']","['h', 'ypoth', 'etical']",0.5,4.07e-06,"[22, 6, 29, 3, 34, 7, 33, 3]"
ceremony,"['S', 'EH', 'R', 'AH', 'M', 'OW', 'N', 'IY']","['ce', 're', 'mony']","['cer', 'em', 'ony']",0.5,2.63e-05,"[31, 7, 30, 3, 26, 12, 27, 11]"
soviet,"['S', 'OW', 'V', 'IY', 'AH', 'T']","['so', 'viet']","['s', 'ov', 'iet']",0.5,3.47e-05,"[31, 12, 35, 11, 3, 33, 0, 0]"
antibody,"['AE', 'N', 'T', 'IH', 'B', 'AA', 'D', 'IY']","['an', 'ti', 'body']","['ant', 'ib', 'ody']",0.5,2.88e-06,"[2, 27, 33, 10, 16, 1, 18, 11]"
stupid,"['S', 'T', 'UW', 'P', 'AH', 'D']","['stu', 'pid']","['st', 'up', 'id']",0.5,8.71e-05,"[31, 33, 15, 29, 3, 18, 0, 0]"
vagina,"['V', 'AH', 'JH', 'AY', 'N', 'AH']","['va', 'gina']","['v', 'ag', 'ina']",0.5,6.61e-06,"[35, 3, 23, 6, 27, 3, 0, 0]"
vibrator,"['V', 'AY', 'B', 'R', 'EY', 'T', 'ER']","['vi', 'brat', 'or']","['v', 'ibr', 'ator']",0.5,1.29e-06,"[35, 6, 16, 30, 9, 33, 8, 0]"
carnival,"['K', 'AA', 'R', 'N', 'AH', 'V', 'AH', 'L']","['car', 'ni', 'val']","['c', 'arn', 'ival']",0.5,7.24e-06,"[24, 1, 30, 27, 3, 35, 3, 25]"
williams,"['W', 'IH', 'L', 'Y', 'AH', 'M', 'Z']","['wil', 'li', 'ams']","['will', 'iam', 's']",0.5,4.68e-05,"[36, 10, 25, 37, 3, 26, 38, 0]"
auburn,"['AA', 'B', 'ER', 'N']","['au', 'burn']","['a', 'ub', 'urn']",0.5,5.25e-06,"[1, 16, 8, 27, 0, 0, 0, 0]"
eleven,"['IH', 'L', 'EH', 'V', 'AH', 'N']","['el', 'ev', 'en']","['ele', 'ven']",0.5,1.32e-05,"[10, 25, 7, 35, 3, 27, 0, 0]"
luis,"['L', 'UW', 'IY', 'S']","['lu', 'is']","['l', 'uis']",0.5,9.77e-06,"[25, 15, 11, 31, 0, 0, 0, 0]"
harrison,"['HH', 'EH', 'R', 'IH', 'S', 'AH', 'N']","['har', 'ris', 'on']","['h', 'arr', 'ison']",0.5,1.2e-05,"[22, 7, 30, 10, 31, 3, 27, 0]"
radios,"['R', 'EY', 'D', 'IY', 'OW', 'Z']","['ra', 'di', 'os']","['r', 'adios']",0.5,2.57e-06,"[30, 9, 18, 11, 12, 38, 0, 0]"
pursuant,"['P', 'ER', 'S', 'UW', 'AH', 'N', 'T']","['pur', 'su', 'ant']","['p', 'urs', 'uant']",0.5,3.63e-06,"[29, 8, 31, 15, 3, 27, 33, 0]"
pavilion,"['P', 'AH', 'V', 'IH', 'L', 'Y', 'AH', 'N']","['pa', 'vil', 'ion']","['p', 'av', 'ilion']",0.5,4.17e-06,"[29, 3, 35, 10, 25, 37, 3, 27]"
gmbh,"['G', 'AH', 'M']",['gmbh'],"['g', 'mb', 'h']",0.5,1.74e-06,"[21, 3, 26, 0, 0, 0, 0, 0]"
happen,"['HH', 'AE', 'P', 'AH', 'N']","['hap', 'pen']","['h', 'app', 'en']",0.5,0.000155,"[22, 2, 29, 3, 27, 0, 0, 0]"
hispanic,"['HH', 'IH', 'S', 'P', 'AE', 'N', 'IH', 'K']","['his', 'pan', 'ic']","['h', 'isp', 'anic']",0.5,9.33e-06,"[22, 10, 31, 29, 2, 27, 10, 24]"
pharmacology,"['F', 'AA', 'R', 'M', 'AH', 'K', 'AA', 'L', 'AH', 'JH', 'IY']","['phar', 'ma', 'co', 'logy']","['ph', 'arm', 'ac', 'ology']",0.5,1.41e-06,"[20, 1, 30, 26, 3, 24, 1, 25]"
july,"['JH', 'UW', 'L', 'AY']","['ju', 'ly']","['j', 'uly']",0.5,0.000148,"[23, 15, 25, 6, 0, 0, 0, 0]"
julian,"['JH', 'UW', 'L', 'IY', 'AH', 'N']","['ju', 'li', 'an']","['j', 'ulian']",0.5,9.77e-06,"[23, 15, 25, 11, 3, 27, 0, 0]"
annual,"['AE', 'N', 'Y', 'UW', 'AH', 'L']","['an', 'nu', 'al']","['ann', 'ual']",0.5,8.71e-05,"[2, 27, 37, 15, 3, 25, 0, 0]"
indianapolis,"['IH', 'N', 'D', 'IY', 'AH', 'N', 'AE', 'P', 'AH', 'L', 'IH', 'S']","['in', 'di', 'ana', 'pol', 'is']","['ind', 'ian', 'apolis']",0.5,6.61e-06,"[10, 27, 18, 11, 3, 27, 2, 29]"
arabia,"['ER', 'EY', 'B', 'IY', 'AH']","['ar', 'a', 'bia']","['arab', 'ia']",0.5,1.32e-05,"[8, 9, 16, 11, 3, 0, 0, 0]"
aerial,"['EH', 'R', 'IY', 'AH', 'L']","['aer', 'i', 'al']","['a', 'erial']",0.5,8.13e-06,"[7, 30, 11, 3, 25, 0, 0, 0]"
tobago,"['T', 'AH', 'B', 'EY', 'G', 'OW']","['to', 'bago']","['t', 'ob', 'ago']",0.5,2.57e-06,"[33, 3, 16, 9, 21, 12, 0, 0]"
cumulative,"['K', 'Y', 'UW', 'M', 'Y', 'AH', 'L', 'AH', 'T', 'IH', 'V']","['cu', 'mu', 'lat', 'ive']","['c', 'umul', 'ative']",0.5,3.55e-06,"[24, 37, 15, 26, 37, 3, 25, 3]"
indian,"['IH', 'N', 'D', 'IY', 'AH', 'N']","['in', 'di', 'an']","['ind', 'ian']",0.5,8.13e-05,"[10, 27, 18, 11, 3, 27, 0, 0]"
stereo,"['S', 'T', 'EH', 'R', 'IY', 'OW']","['ste', 'reo']","['st', 'ere', 'o']",0.5,5.89e-06,"[31, 33, 7, 30, 11, 12, 0, 0]"
iraq,"['IH', 'R', 'AA', 'K']","['ir', 'aq']","['ira', 'q']",0.5,2.69e-05,"[10, 30, 1, 24, 0, 0, 0, 0]"
sodium,"['S', 'OW', 'D', 'IY', 'AH', 'M']","['so', 'di', 'um']","['s', 'odium']",0.5,7.41e-06,"[31, 12, 18, 11, 3, 26, 0, 0]"
scotia,"['S', 'K', 'OW', 'SH', 'AH']","['sco', 'tia']","['sc', 'ot', 'ia']",0.5,3.09e-06,"[31, 24, 12, 32, 3, 0, 0, 0]"
zoloft,"['Z', 'AA', 'L', 'AA', 'F', 'T']","['zo', 'loft']","['z', 'olo', 'ft']",0.5,3.39e-07,"[38, 1, 25, 1, 20, 33, 0, 0]"
antibodies,"['AE', 'N', 'T', 'IH', 'B', 'AA', 'D', 'IY', 'Z']","['an', 'ti', 'bod', 'ies']","['ant', 'ib', 'odies']",0.5,3.63e-06,"[2, 27, 33, 10, 16, 1, 18, 11]"
mutual,"['M', 'Y', 'UW', 'CH', 'AH', 'W', 'AH', 'L']","['mu', 'tu', 'al']","['mut', 'ual']",0.5,1.82e-05,"[26, 37, 15, 17, 3, 36, 3, 25]"
morrison,"['M', 'AO', 'R', 'IH', 'S', 'AH', 'N']","['mor', 'ris', 'on']","['m', 'orr', 'ison']",0.5,7.41e-06,"[26, 4, 30, 10, 31, 3, 27, 0]"
robbie,"['R', 'AA', 'B', 'IY']","['rob', 'bie']","['ro', 'bb', 'ie']",0.5,6.92e-06,"[30, 1, 16, 11, 0, 0, 0, 0]"
harris,"['HH', 'EH', 'R', 'IH', 'S']","['har', 'ris']","['h', 'arr', 'is']",0.5,2.75e-05,"[22, 7, 30, 10, 31, 0, 0, 0]"
