word,arpabet,syllables,tokenized_word,hamming_distance,word_frequency,phon_vec
edge,"['EH', 'JH']",['edge'],['edge'],0.0,5.5e-05,"[7, 23, 0, 0, 0, 0, 0, 0]"
doctrine,"['D', 'AA', 'K', 'T', 'R', 'AH', 'N']","['doc', 'trine']","['doc', 'trine']",0.0,9.55e-06,"[18, 1, 24, 33, 30, 3, 27, 0]"
chair,"['CH', 'EH', 'R']",['chair'],['chair'],0.0,4.9e-05,"[17, 7, 30, 0, 0, 0, 0, 0]"
topless,"['T', 'AA', 'P', 'L', 'AH', 'S']","['top', 'less']","['top', 'less']",0.0,2.29e-06,"[33, 1, 29, 25, 3, 31, 0, 0]"
hung,"['HH', 'AH', 'NG']",['hung'],['hung'],0.0,1.62e-05,"[22, 3, 28, 0, 0, 0, 0, 0]"
ordered,"['AO', 'R', 'D', 'ER', 'D']",['ordered'],['ordered'],0.0,5.5e-05,"[4, 30, 18, 8, 18, 0, 0, 0]"
fighting,"['F', 'AY', 'T', 'IH', 'NG']","['fight', 'ing']","['fight', 'ing']",0.0,8.32e-05,"[20, 6, 33, 10, 28, 0, 0, 0]"
split,"['S', 'P', 'L', 'IH', 'T']",['split'],['split'],0.0,4.47e-05,"[31, 29, 25, 10, 33, 0, 0, 0]"
themes,"['TH', 'IY', 'M', 'Z']",['themes'],['themes'],0.0,1.55e-05,"[34, 11, 26, 38, 0, 0, 0, 0]"
forth,"['F', 'AO', 'R', 'TH']",['forth'],['forth'],0.0,2.51e-05,"[20, 4, 30, 34, 0, 0, 0, 0]"
baltimore,"['B', 'AO', 'L', 'T', 'AH', 'M', 'AO', 'R']","['bal', 'timore']","['bal', 'timore']",0.0,1.66e-05,"[16, 4, 25, 33, 3, 26, 4, 30]"
peaceful,"['P', 'IY', 'S', 'F', 'AH', 'L']","['peace', 'ful']","['peace', 'ful']",0.0,1.91e-05,"[29, 11, 31, 20, 3, 25, 0, 0]"
trainers,"['T', 'R', 'EY', 'N', 'ER', 'Z']","['train', 'ers']","['train', 'ers']",0.0,5.25e-06,"[33, 30, 9, 27, 8, 38, 0, 0]"
fit,"['F', 'IH', 'T']",['fit'],['fit'],0.0,8.91e-05,"[20, 10, 33, 0, 0, 0, 0, 0]"
tests,"['T', 'EH', 'S', 'T', 'S']",['tests'],['tests'],0.0,4.68e-05,"[33, 7, 31, 33, 31, 0, 0, 0]"
met,"['M', 'EH', 'T']",['met'],['met'],0.0,0.000123,"[26, 7, 33, 0, 0, 0, 0, 0]"
stopping,"['S', 'T', 'AA', 'P', 'IH', 'NG']","['stop', 'ping']","['stop', 'ping']",0.0,1.95e-05,"[31, 33, 1, 29, 10, 28, 0, 0]"
oak,"['OW', 'K']",['oak'],['oak'],0.0,1.51e-05,"[12, 24, 0, 0, 0, 0, 0, 0]"
vat,"['V', 'AE', 'T']",['vat'],['vat'],0.0,3.47e-06,"[35, 2, 33, 0, 0, 0, 0, 0]"
root,"['R', 'UW', 'T']",['root'],['root'],0.0,2.57e-05,"[30, 15, 33, 0, 0, 0, 0, 0]"
closed,"['K', 'L', 'OW', 'Z', 'D']",['closed'],['closed'],0.0,7.94e-05,"[24, 25, 12, 38, 18, 0, 0, 0]"
sold,"['S', 'OW', 'L', 'D']",['sold'],['sold'],0.0,9.33e-05,"[31, 12, 25, 18, 0, 0, 0, 0]"
oman,"['OW', 'M', 'AA', 'N']",['oman'],['oman'],0.0,2.29e-06,"[12, 26, 1, 27, 0, 0, 0, 0]"
apps,"['AE', 'P', 'S']",['apps'],['apps'],0.0,2.24e-05,"[2, 29, 31, 0, 0, 0, 0, 0]"
kim,"['K', 'IH', 'M']",['kim'],['kim'],0.0,3.89e-05,"[24, 10, 26, 0, 0, 0, 0, 0]"
merchandise,"['M', 'ER', 'CH', 'AH', 'N', 'D', 'AY', 'Z']","['mer', 'chand', 'ise']","['mer', 'chand', 'ise']",0.0,8.51e-06,"[26, 8, 17, 3, 27, 18, 6, 38]"
surfaces,"['S', 'ER', 'F', 'AH', 'S', 'AH', 'Z']","['sur', 'faces']","['sur', 'faces']",0.0,1.05e-05,"[31, 8, 20, 3, 31, 3, 38, 0]"
pendant,"['P', 'EH', 'N', 'D', 'AH', 'N', 'T']",['pendant'],['pendant'],0.0,2.69e-06,"[29, 7, 27, 18, 3, 27, 33, 0]"
bob,"['B', 'AA', 'B']",['bob'],['bob'],0.0,4.27e-05,"[16, 1, 16, 0, 0, 0, 0, 0]"
ping,"['P', 'IH', 'NG']",['ping'],['ping'],0.0,5.75e-06,"[29, 10, 28, 0, 0, 0, 0, 0]"
textbook,"['T', 'EH', 'K', 'S', 'T', 'B', 'UH', 'K']","['text', 'book']","['text', 'book']",0.0,5.89e-06,"[33, 7, 24, 31, 33, 16, 14, 24]"
ice,"['AY', 'S']",['ice'],['ice'],0.0,0.0001,"[6, 31, 0, 0, 0, 0, 0, 0]"
wind,"['W', 'AY', 'N', 'D']",['wind'],['wind'],0.0,6.92e-05,"[36, 6, 27, 18, 0, 0, 0, 0]"
situation,"['S', 'IH', 'CH', 'UW', 'EY', 'SH', 'AH', 'N']","['situ', 'ation']","['situ', 'ation']",0.0,0.000123,"[31, 10, 17, 15, 9, 32, 3, 27]"
