word,arpabet,syllables,tokenized_word,hamming_distance,word_frequency,phon_vec
zimbabwe,"['Z', 'IH', 'M', 'B', 'AA', 'B', 'W', 'EY']","['zi', 'm', 'b', 'ab', 'we']","['z', 'imbabwe']",0.625,5.37e-06,"[38, 10, 26, 16, 1, 16, 36, 9]"
pioneer,"['P', 'AY', 'AH', 'N', 'IH', 'R']","['pi', 'on', 'eer']","['p', 'ione', 'er']",0.5714285714285714,8.13e-06,"[29, 6, 3, 27, 10, 30, 0, 0]"
titanium,"['T', 'AY', 'T', 'EY', 'N', 'IY', 'AH', 'M']","['ti', 'tani', 'um']","['t', 'itan', 'ium']",0.5,3.55e-06,"[33, 6, 33, 9, 27, 11, 3, 26]"
wagner,"['W', 'AE', 'G', 'N', 'ER']","['wag', 'n', 'er']","['w', 'agner']",0.5,5.13e-06,"[36, 2, 21, 27, 8, 0, 0, 0]"
iraq,"['IH', 'R', 'AA', 'K']","['ir', 'aq']","['ira', 'q']",0.5,2.69e-05,"[10, 30, 1, 24, 0, 0, 0, 0]"
encyclopedia,"['IH', 'N', 'S', 'AY', 'K', 'L', 'AH', 'P', 'IY', 'D', 'IY', 'AH']","['en', 'cyc', 'lo', 'pe', 'dia']","['ency', 'cl', 'opedia']",0.5,3.31e-06,"[10, 27, 31, 6, 24, 25, 3, 29]"
vacuum,"['V', 'AE', 'K', 'Y', 'UW', 'M']","['va', 'cu', 'um']","['vac', 'uum']",0.5,1.23e-05,"[35, 2, 24, 37, 15, 26, 0, 0]"
remedy,"['R', 'EH', 'M', 'AH', 'D', 'IY']","['rem', 'edy']","['re', 'med', 'y']",0.5,6.61e-06,"[30, 7, 26, 3, 18, 11, 0, 0]"
refrigerator,"['R', 'AH', 'F', 'R', 'IH', 'JH', 'ER', 'EY', 'T', 'ER']","['re', 'fri', 'ger', 'at', 'or']","['ref', 'rig', 'erator']",0.5,4.07e-06,"[30, 3, 20, 30, 10, 23, 8, 9]"
eugene,"['Y', 'UW', 'JH', 'IY', 'N']","['eu', 'gene']","['e', 'ug', 'ene']",0.5,6.31e-06,"[37, 15, 23, 11, 27, 0, 0, 0]"
hypothetical,"['HH', 'AY', 'P', 'AH', 'TH', 'EH', 'T', 'AH', 'K', 'AH', 'L']","['hy', 'po', 'thet', 'ic', 'al']","['hyp', 'ot', 'hetical']",0.5,4.07e-06,"[22, 6, 29, 3, 34, 7, 33, 3]"
mutual,"['M', 'Y', 'UW', 'CH', 'AH', 'W', 'AH', 'L']","['mu', 'tu', 'al']","['mut', 'ual']",0.5,1.82e-05,"[26, 37, 15, 17, 3, 36, 3, 25]"
medieval,"['M', 'IH', 'D', 'IY', 'V', 'AH', 'L']","['me', 'di', 'ev', 'al']","['med', 'ieval']",0.5,1.12e-05,"[26, 10, 18, 11, 35, 3, 25, 0]"
junior,"['JH', 'UW', 'N', 'Y', 'ER']","['ju', 'ni', 'or']","['jun', 'ior']",0.5,3.09e-05,"[23, 15, 27, 37, 8, 0, 0, 0]"
july,"['JH', 'UW', 'L', 'AY']","['ju', 'ly']","['j', 'uly']",0.5,0.000148,"[23, 15, 25, 6, 0, 0, 0, 0]"
cambodia,"['K', 'AE', 'M', 'B', 'OW', 'D', 'IY', 'AH']","['cam', 'bod', 'ia']","['c', 'amb', 'odia']",0.5,5.13e-06,"[24, 2, 26, 16, 12, 18, 11, 3]"
arabia,"['ER', 'EY', 'B', 'IY', 'AH']","['ar', 'a', 'bia']","['arab', 'ia']",0.5,1.32e-05,"[8, 9, 16, 11, 3, 0, 0, 0]"
radios,"['R', 'EY', 'D', 'IY', 'OW', 'Z']","['ra', 'di', 'os']","['rad', 'ios']",0.5,2.57e-06,"[30, 9, 18, 11, 12, 38, 0, 0]"
reggae,"['R', 'EH', 'G', 'EY']","['reg', 'gae']","['re', 'gg', 'ae']",0.5,2.95e-06,"[30, 7, 21, 9, 0, 0, 0, 0]"
