word,arpabet,syllables,tokenized_word,hamming_distance,word_frequency,phon_vec
hell,"['HH', 'EH', 'L']",['hell'],['hell'],0.0,0.000126,"[22, 7, 25, 0, 0, 0, 0, 0]"
nails,"['N', 'EY', 'L', 'Z']",['nails'],['nails'],0.0,1.1e-05,"[27, 9, 25, 38, 0, 0, 0, 0]"
warm,"['W', 'AO', 'R', 'M']",['warm'],['warm'],0.0,5.13e-05,"[36, 4, 30, 26, 0, 0, 0, 0]"
neither,"['N', 'IY', 'DH', 'ER']",['neither'],['neither'],0.0,5.89e-05,"[27, 11, 19, 8, 0, 0, 0, 0]"
leaves,"['L', 'IY', 'V', 'Z']",['leaves'],['leaves'],0.0,6.17e-05,"[25, 11, 35, 38, 0, 0, 0, 0]"
clearance,"['K', 'L', 'IH', 'R', 'AH', 'N', 'S']","['clear', 'ance']","['clear', 'ance']",0.0,9.12e-06,"[24, 25, 10, 30, 3, 27, 31, 0]"
fruit,"['F', 'R', 'UW', 'T']",['fruit'],['fruit'],0.0,3.72e-05,"[20, 30, 15, 33, 0, 0, 0, 0]"
begins,"['B', 'IH', 'G', 'IH', 'N', 'Z']","['be', 'gins']","['be', 'gins']",0.0,4.17e-05,"[16, 10, 21, 10, 27, 38, 0, 0]"
montgomery,"['M', 'AA', 'N', 'T', 'G', 'AH', 'M', 'R', 'IY']","['mont', 'gomery']","['mont', 'gomery']",0.0,8.32e-06,"[26, 1, 27, 33, 21, 3, 26, 30]"
lens,"['L', 'EH', 'N', 'Z']",['lens'],['lens'],0.0,1.48e-05,"[25, 7, 27, 38, 0, 0, 0, 0]"
alerts,"['AH', 'L', 'ER', 'T', 'S']",['alerts'],['alerts'],0.0,3.63e-06,"[3, 25, 8, 33, 31, 0, 0, 0]"
treated,"['T', 'R', 'IY', 'T', 'AH', 'D']",['treated'],['treated'],0.0,5.13e-05,"[33, 30, 11, 33, 3, 18, 0, 0]"
draw,"['D', 'R', 'AO']",['draw'],['draw'],0.0,6.46e-05,"[18, 30, 4, 0, 0, 0, 0, 0]"
volumes,"['V', 'AA', 'L', 'Y', 'UW', 'M', 'Z']",['volumes'],['volumes'],0.0,1.58e-05,"[35, 1, 25, 37, 15, 26, 38, 0]"
gun,"['G', 'AH', 'N']",['gun'],['gun'],0.0,9.12e-05,"[21, 3, 27, 0, 0, 0, 0, 0]"
pure,"['P', 'Y', 'UH', 'R']",['pure'],['pure'],0.0,4.37e-05,"[29, 37, 14, 30, 0, 0, 0, 0]"
slope,"['S', 'L', 'OW', 'P']",['slope'],['slope'],0.0,7.94e-06,"[31, 25, 12, 29, 0, 0, 0, 0]"
bound,"['B', 'AW', 'N', 'D']",['bound'],['bound'],0.0,2.88e-05,"[16, 5, 27, 18, 0, 0, 0, 0]"
node,"['N', 'OW', 'D']",['node'],['node'],0.0,7.59e-06,"[27, 12, 18, 0, 0, 0, 0, 0]"
tale,"['T', 'EY', 'L']",['tale'],['tale'],0.0,1.95e-05,"[33, 9, 25, 0, 0, 0, 0, 0]"
colored,"['K', 'AH', 'L', 'ER', 'D']",['colored'],['colored'],0.0,1.55e-05,"[24, 3, 25, 8, 18, 0, 0, 0]"
presenting,"['P', 'R', 'IH', 'Z', 'EH', 'N', 'T', 'IH', 'NG']","['present', 'ing']","['present', 'ing']",0.0,1.2e-05,"[29, 30, 10, 38, 7, 27, 33, 10]"
sam,"['S', 'AE', 'M']",['sam'],['sam'],0.0,4.37e-05,"[31, 2, 26, 0, 0, 0, 0, 0]"
stick,"['S', 'T', 'IH', 'K']",['stick'],['stick'],0.0,5.75e-05,"[31, 33, 10, 24, 0, 0, 0, 0]"
genre,"['ZH', 'AA', 'N', 'R', 'AH']",['genre'],['genre'],0.0,1.48e-05,"[39, 1, 27, 30, 3, 0, 0, 0]"
slide,"['S', 'L', 'AY', 'D']",['slide'],['slide'],0.0,2e-05,"[31, 25, 6, 18, 0, 0, 0, 0]"
tested,"['T', 'EH', 'S', 'T', 'AH', 'D']",['tested'],['tested'],0.0,3.02e-05,"[33, 7, 31, 33, 3, 18, 0, 0]"
rear,"['R', 'IH', 'R']",['rear'],['rear'],0.0,2.69e-05,"[30, 10, 30, 0, 0, 0, 0, 0]"
merit,"['M', 'EH', 'R', 'AH', 'T']","['mer', 'it']","['mer', 'it']",0.0,1.2e-05,"[26, 7, 30, 3, 33, 0, 0, 0]"
hanging,"['HH', 'AE', 'NG', 'IH', 'NG']",['hanging'],['hanging'],0.0,3.16e-05,"[22, 2, 28, 10, 28, 0, 0, 0]"
checks,"['CH', 'EH', 'K', 'S']",['checks'],['checks'],0.0,2.04e-05,"[17, 7, 24, 31, 0, 0, 0, 0]"
lean,"['L', 'IY', 'N']",['lean'],['lean'],0.0,1.38e-05,"[25, 11, 27, 0, 0, 0, 0, 0]"
bond,"['B', 'AA', 'N', 'D']",['bond'],['bond'],0.0,3.89e-05,"[16, 1, 27, 18, 0, 0, 0, 0]"
ericsson,"['EH', 'R', 'IH', 'K', 'S', 'AH', 'N']","['eric', 'sson']","['eric', 'sson']",0.0,1.05e-06,"[7, 30, 10, 24, 31, 3, 27, 0]"
blues,"['B', 'L', 'UW', 'Z']",['blues'],['blues'],0.0,2.19e-05,"[16, 25, 15, 38, 0, 0, 0, 0]"
pub,"['P', 'AH', 'B']",['pub'],['pub'],0.0,1.7e-05,"[29, 3, 16, 0, 0, 0, 0, 0]"
visa,"['V', 'IY', 'Z', 'AH']",['visa'],['visa'],0.0,1.35e-05,"[35, 11, 38, 3, 0, 0, 0, 0]"
mouth,"['M', 'AW', 'TH']",['mouth'],['mouth'],0.0,6.76e-05,"[26, 5, 34, 0, 0, 0, 0, 0]"
jewish,"['JH', 'UW', 'IH', 'SH']","['jew', 'ish']","['jew', 'ish']",0.0,4.07e-05,"[23, 15, 10, 32, 0, 0, 0, 0]"
meter,"['M', 'IY', 'T', 'ER']",['meter'],['meter'],0.0,1.23e-05,"[26, 11, 33, 8, 0, 0, 0, 0]"
linked,"['L', 'IH', 'NG', 'K', 'T']",['linked'],['linked'],0.0,3.47e-05,"[25, 10, 28, 24, 33, 0, 0, 0]"
portland,"['P', 'AO', 'R', 'T', 'L', 'AH', 'N', 'D']","['port', 'land']","['port', 'land']",0.0,1.51e-05,"[29, 4, 30, 33, 25, 3, 27, 18]"
scores,"['S', 'K', 'AO', 'R', 'Z']",['scores'],['scores'],0.0,2.69e-05,"[31, 24, 4, 30, 38, 0, 0, 0]"
breath,"['B', 'R', 'EH', 'TH']",['breath'],['breath'],0.0,3.31e-05,"[16, 30, 7, 34, 0, 0, 0, 0]"
monica,"['M', 'AA', 'N', 'IH', 'K', 'AH']","['mon', 'ica']","['mon', 'ica']",0.0,9.12e-06,"[26, 1, 27, 10, 24, 3, 0, 0]"
jean,"['JH', 'IY', 'N']",['jean'],['jean'],0.0,2.29e-05,"[23, 11, 27, 0, 0, 0, 0, 0]"
hop,"['HH', 'AA', 'P']",['hop'],['hop'],0.0,2.51e-05,"[22, 1, 29, 0, 0, 0, 0, 0]"
reached,"['R', 'IY', 'CH', 'T']",['reached'],['reached'],0.0,7.08e-05,"[30, 11, 17, 33, 0, 0, 0, 0]"
bye,"['B', 'AY']",['bye'],['bye'],0.0,2.45e-05,"[16, 6, 0, 0, 0, 0, 0, 0]"
ana,"['AA', 'N', 'AH']",['ana'],['ana'],0.0,7.76e-06,"[1, 27, 3, 0, 0, 0, 0, 0]"
postings,"['P', 'OW', 'S', 'T', 'IH', 'NG', 'Z']","['post', 'ings']","['post', 'ings']",0.0,1.38e-06,"[29, 12, 31, 33, 10, 28, 38, 0]"
postcards,"['P', 'OW', 'S', 'T', 'K', 'AA', 'R', 'D', 'Z']","['post', 'cards']","['post', 'cards']",0.0,1.91e-06,"[29, 12, 31, 33, 24, 1, 30, 18]"
drain,"['D', 'R', 'EY', 'N']",['drain'],['drain'],0.0,1.17e-05,"[18, 30, 9, 27, 0, 0, 0, 0]"
movements,"['M', 'UW', 'V', 'M', 'AH', 'N', 'T', 'S']","['move', 'ments']","['move', 'ments']",0.0,2.24e-05,"[26, 15, 35, 26, 3, 27, 33, 31]"
disks,"['D', 'IH', 'S', 'K', 'S']",['disks'],['disks'],0.0,2.45e-06,"[18, 10, 31, 24, 31, 0, 0, 0]"
sans,"['S', 'AE', 'N', 'Z']",['sans'],['sans'],0.0,3.8e-06,"[31, 2, 27, 38, 0, 0, 0, 0]"
builds,"['B', 'IH', 'L', 'D', 'Z']",['builds'],['builds'],0.0,8.91e-06,"[16, 10, 25, 18, 38, 0, 0, 0]"
shaft,"['SH', 'AE', 'F', 'T']",['shaft'],['shaft'],0.0,7.94e-06,"[32, 2, 20, 33, 0, 0, 0, 0]"
pushed,"['P', 'UH', 'SH', 'T']",['pushed'],['pushed'],0.0,2.69e-05,"[29, 14, 32, 33, 0, 0, 0, 0]"
junk,"['JH', 'AH', 'NG', 'K']",['junk'],['junk'],0.0,1.07e-05,"[23, 3, 28, 24, 0, 0, 0, 0]"
wax,"['W', 'AE', 'K', 'S']",['wax'],['wax'],0.0,8.32e-06,"[36, 2, 24, 31, 0, 0, 0, 0]"
hans,"['HH', 'AA', 'N', 'S']",['hans'],['hans'],0.0,6.61e-06,"[22, 1, 27, 31, 0, 0, 0, 0]"
phrases,"['F', 'R', 'EY', 'Z', 'AH', 'Z']",['phrases'],['phrases'],0.0,7.76e-06,"[20, 30, 9, 38, 3, 38, 0, 0]"
miniature,"['M', 'IH', 'N', 'IY', 'AH', 'CH', 'UH', 'R']","['mini', 'ature']","['mini', 'ature']",0.0,5.25e-06,"[26, 10, 27, 11, 3, 17, 14, 30]"
oxford,"['AA', 'K', 'S', 'F', 'ER', 'D']","['ox', 'ford']","['ox', 'ford']",0.0,2.4e-05,"[1, 24, 31, 20, 8, 18, 0, 0]"
harold,"['HH', 'EH', 'R', 'AH', 'L', 'D']","['har', 'old']","['har', 'old']",0.0,1.07e-05,"[22, 7, 30, 3, 25, 18, 0, 0]"
handbags,"['HH', 'AE', 'N', 'D', 'B', 'AE', 'G', 'Z']","['hand', 'bags']","['hand', 'bags']",0.0,1.51e-06,"[22, 2, 27, 18, 16, 2, 21, 38]"
jar,"['JH', 'AA', 'R']",['jar'],['jar'],0.0,8.51e-06,"[23, 1, 30, 0, 0, 0, 0, 0]"
cambridge,"['K', 'EY', 'M', 'B', 'R', 'IH', 'JH']","['cam', 'bridge']","['cam', 'bridge']",0.0,2.45e-05,"[24, 9, 26, 16, 30, 10, 23, 0]"
