word,arpabet,syllables,tokenized_word,hamming_distance,word_frequency,phon_vec
bus,"['B', 'AH', 'S']",['bus'],['bus'],0.0,6.76e-05,"[16, 3, 31, 0, 0, 0, 0, 0]"
scroll,"['S', 'K', 'R', 'OW', 'L']",['scroll'],['scroll'],0.0,7.24e-06,"[31, 24, 30, 12, 25, 0, 0, 0]"
tunnel,"['T', 'AH', 'N', 'AH', 'L']","['tun', 'nel']","['tun', 'nel']",0.0,1.74e-05,"[33, 3, 27, 3, 25, 0, 0, 0]"
patents,"['P', 'AE', 'T', 'AH', 'N', 'T', 'S']","['pat', 'ents']","['pat', 'ents']",0.0,5.89e-06,"[29, 2, 33, 3, 27, 33, 31, 0]"
bits,"['B', 'IH', 'T', 'S']",['bits'],['bits'],0.0,1.51e-05,"[16, 10, 33, 31, 0, 0, 0, 0]"
passwords,"['P', 'AE', 'S', 'W', 'ER', 'D', 'Z']","['pass', 'words']","['pass', 'words']",0.0,3.72e-06,"[29, 2, 31, 36, 8, 18, 38, 0]"
shot,"['SH', 'AA', 'T']",['shot'],['shot'],0.0,0.000166,"[32, 1, 33, 0, 0, 0, 0, 0]"
sec,"['S', 'EH', 'K']",['sec'],['sec'],0.0,2.04e-05,"[31, 7, 24, 0, 0, 0, 0, 0]"
hardcore,"['HH', 'AA', 'R', 'D', 'K', 'AO', 'R']","['hard', 'core']","['hard', 'core']",0.0,9.33e-06,"[22, 1, 30, 18, 24, 4, 30, 0]"
league,"['L', 'IY', 'G']",['league'],['league'],0.0,0.000135,"[25, 11, 21, 0, 0, 0, 0, 0]"
minute,"['M', 'IH', 'N', 'AH', 'T']",['minute'],['minute'],0.0,9.55e-05,"[26, 10, 27, 3, 33, 0, 0, 0]"
ashley,"['AE', 'SH', 'L', 'IY']","['ash', 'ley']","['ash', 'ley']",0.0,1.29e-05,"[2, 32, 25, 11, 0, 0, 0, 0]"
cold,"['K', 'OW', 'L', 'D']",['cold'],['cold'],0.0,0.000105,"[24, 12, 25, 18, 0, 0, 0, 0]"
chair,"['CH', 'EH', 'R']",['chair'],['chair'],0.0,4.9e-05,"[17, 7, 30, 0, 0, 0, 0, 0]"
phase,"['F', 'EY', 'Z']",['phase'],['phase'],0.0,4.37e-05,"[20, 9, 38, 0, 0, 0, 0, 0]"
fields,"['F', 'IY', 'L', 'D', 'Z']",['fields'],['fields'],0.0,3.98e-05,"[20, 11, 25, 18, 38, 0, 0, 0]"
bag,"['B', 'AE', 'G']",['bag'],['bag'],0.0,6.17e-05,"[16, 2, 21, 0, 0, 0, 0, 0]"
mil,"['M', 'IH', 'L']",['mil'],['mil'],0.0,5.5e-06,"[26, 10, 25, 0, 0, 0, 0, 0]"
cult,"['K', 'AH', 'L', 'T']",['cult'],['cult'],0.0,1.23e-05,"[24, 3, 25, 33, 0, 0, 0, 0]"
dash,"['D', 'AE', 'SH']",['dash'],['dash'],0.0,1e-05,"[18, 2, 32, 0, 0, 0, 0, 0]"
passive,"['P', 'AE', 'S', 'IH', 'V']","['pass', 'ive']","['pass', 'ive']",0.0,1.07e-05,"[29, 2, 31, 10, 35, 0, 0, 0]"
peaceful,"['P', 'IY', 'S', 'F', 'AH', 'L']","['peace', 'ful']","['peace', 'ful']",0.0,1.91e-05,"[29, 11, 31, 20, 3, 25, 0, 0]"
buyer,"['B', 'AY', 'ER']","['buy', 'er']","['buy', 'er']",0.0,1.07e-05,"[16, 6, 8, 0, 0, 0, 0, 0]"
easily,"['IY', 'Z', 'AH', 'L', 'IY']","['eas', 'ily']","['eas', 'ily']",0.0,8.13e-05,"[11, 38, 3, 25, 11, 0, 0, 0]"
ford,"['F', 'AO', 'R', 'D']",['ford'],['ford'],0.0,3.16e-05,"[20, 4, 30, 18, 0, 0, 0, 0]"
edge,"['EH', 'JH']",['edge'],['edge'],0.0,5.5e-05,"[7, 23, 0, 0, 0, 0, 0, 0]"
root,"['R', 'UW', 'T']",['root'],['root'],0.0,2.57e-05,"[30, 15, 33, 0, 0, 0, 0, 0]"
closed,"['K', 'L', 'OW', 'Z', 'D']",['closed'],['closed'],0.0,7.94e-05,"[24, 25, 12, 38, 18, 0, 0, 0]"
ice,"['AY', 'S']",['ice'],['ice'],0.0,0.0001,"[6, 31, 0, 0, 0, 0, 0, 0]"
anaheim,"['AE', 'N', 'AH', 'HH', 'AY', 'M']","['ana', 'heim']","['ana', 'heim']",0.0,2.88e-06,"[2, 27, 3, 22, 6, 26, 0, 0]"
ping,"['P', 'IH', 'NG']",['ping'],['ping'],0.0,5.75e-06,"[29, 10, 28, 0, 0, 0, 0, 0]"
textbook,"['T', 'EH', 'K', 'S', 'T', 'B', 'UH', 'K']","['text', 'book']","['text', 'book']",0.0,5.89e-06,"[33, 7, 24, 31, 33, 16, 14, 24]"
checklist,"['CH', 'EH', 'K', 'L', 'IH', 'S', 'T']","['check', 'list']","['check', 'list']",0.0,2.82e-06,"[17, 7, 24, 25, 10, 31, 33, 0]"
trainers,"['T', 'R', 'EY', 'N', 'ER', 'Z']","['train', 'ers']","['train', 'ers']",0.0,5.25e-06,"[33, 30, 9, 27, 8, 38, 0, 0]"
doors,"['D', 'AO', 'R', 'Z']",['doors'],['doors'],0.0,3.47e-05,"[18, 4, 30, 38, 0, 0, 0, 0]"
forth,"['F', 'AO', 'R', 'TH']",['forth'],['forth'],0.0,2.51e-05,"[20, 4, 30, 34, 0, 0, 0, 0]"
gateway,"['G', 'EY', 'T', 'W', 'EY']","['gate', 'way']","['gate', 'way']",0.0,6.76e-06,"[21, 9, 33, 36, 9, 0, 0, 0]"
drawing,"['D', 'R', 'AO', 'IH', 'NG']","['draw', 'ing']","['draw', 'ing']",0.0,3.8e-05,"[18, 30, 4, 10, 28, 0, 0, 0]"
ordered,"['AO', 'R', 'D', 'ER', 'D']",['ordered'],['ordered'],0.0,5.5e-05,"[4, 30, 18, 8, 18, 0, 0, 0]"
