word,arpabet,syllables,tokenized_word,hamming_distance,word_frequency,phon_vec
lexmark,"['L', 'EH', 'K', 'S', 'M', 'AA', 'R', 'K']","['lex', 'mark']","['lex', 'mark']",0.0,1.23e-07,"[25, 7, 24, 31, 26, 1, 30, 24]"
shareware,"['SH', 'EH', 'R', 'W', 'EH', 'R']","['share', 'ware']","['share', 'ware']",0.0,1.91e-07,"[32, 7, 30, 36, 7, 30, 0, 0]"
disclaimers,"['D', 'IH', 'S', 'K', 'L', 'EY', 'M', 'ER', 'Z']","['dis', 'claim', 'ers']","['dis', 'claim', 'ers']",0.0,2.82e-07,"[18, 10, 31, 24, 25, 9, 26, 8]"
unwrap,"['AH', 'N', 'R', 'AE', 'P']","['un', 'wrap']","['un', 'wrap']",0.0,3.63e-07,"[3, 27, 30, 2, 29, 0, 0, 0]"
netscape,"['N', 'EH', 'T', 'S', 'K', 'EY', 'P']","['nets', 'cape']","['nets', 'cape']",0.0,4.37e-07,"[27, 7, 33, 31, 24, 9, 29, 0]"
thinkpad,"['TH', 'IH', 'NG', 'K', 'P', 'AE', 'D']","['think', 'pad']","['think', 'pad']",0.0,4.57e-07,"[34, 10, 28, 24, 29, 2, 18, 0]"
bestsellers,"['B', 'EH', 'S', 'T', 'S', 'EH', 'L', 'ER', 'Z']","['best', 'sellers']","['best', 'sell', 'ers']",0.09090909090909091,5.13e-07,"[16, 7, 31, 33, 31, 7, 25, 8]"
acrobat,"['AE', 'K', 'R', 'AH', 'B', 'AE', 'T']","['ac', 'robat']","['ac', 'robat']",0.0,5.25e-07,"[2, 24, 30, 3, 16, 2, 33, 0]"
reseller,"['R', 'IY', 'S', 'EH', 'L', 'ER']","['re', 'seller']","['re', 'seller']",0.0,6.17e-07,"[30, 11, 31, 7, 25, 8, 0, 0]"
bookmarks,"['B', 'UH', 'K', 'M', 'AA', 'R', 'K', 'S']","['book', 'marks']","['book', 'marks']",0.0,6.46e-07,"[16, 14, 24, 26, 1, 30, 24, 31]"
mpeg,"['EH', 'M', 'P', 'EH', 'G']",['mpeg'],['mpeg'],0.0,6.61e-07,"[7, 26, 29, 7, 21, 0, 0, 0]"
airfare,"['EH', 'R', 'F', 'EH', 'R']","['air', 'fare']","['air', 'fare']",0.0,6.76e-07,"[7, 30, 20, 7, 30, 0, 0, 0]"
adapters,"['AH', 'D', 'AE', 'P', 'T', 'ER', 'Z']","['ad', 'apters']","['ad', 'apters']",0.0,7.24e-07,"[3, 18, 2, 29, 33, 8, 38, 0]"
lookup,"['L', 'UH', 'K', 'AH', 'P']","['look', 'up']","['look', 'up']",0.0,7.24e-07,"[25, 14, 24, 3, 29, 0, 0, 0]"
mailman,"['M', 'EY', 'L', 'M', 'AE', 'N']","['mail', 'man']","['mail', 'man']",0.0,7.59e-07,"[26, 9, 25, 26, 2, 27, 0, 0]"
telephony,"['T', 'EH', 'L', 'AH', 'F', 'OW', 'N', 'IY']","['tele', 'phony']","['tele', 'phony']",0.0,7.76e-07,"[33, 7, 25, 3, 20, 12, 27, 11]"
printable,"['P', 'R', 'IH', 'N', 'T', 'AH', 'B', 'AH', 'L']","['print', 'able']","['print', 'able']",0.0,8.32e-07,"[29, 30, 10, 27, 33, 3, 16, 3]"
deutschland,"['D', 'OY', 'CH', 'L', 'AE', 'N', 'D']","['deutsch', 'land']","['de', 'utsch', 'land']",0.09090909090909091,8.32e-07,"[18, 13, 17, 25, 2, 27, 18, 0]"
newsletters,"['N', 'UW', 'Z', 'L', 'EH', 'T', 'ER', 'Z']","['news', 'let', 'ters']","['news', 'letters']",0.09090909090909091,8.71e-07,"[27, 15, 38, 25, 7, 33, 8, 38]"
locale,"['L', 'OW', 'K', 'AE', 'L']","['loc', 'ale']","['loc', 'ale']",0.0,9.55e-07,"[25, 12, 24, 2, 25, 0, 0, 0]"
transsexual,"['T', 'R', 'AE', 'N', 'S', 'EH', 'K', 'SH', 'Y', 'UW', 'AH', 'L']","['trans', 'sexu', 'al']","['trans', 'sexual']",0.09090909090909091,9.77e-07,"[33, 30, 2, 27, 31, 7, 24, 32]"
toolbox,"['T', 'UW', 'L', 'B', 'AO', 'K', 'S']","['tool', 'box']","['tool', 'box']",0.0,9.77e-07,"[33, 15, 25, 16, 4, 24, 31, 0]"
grenada,"['G', 'R', 'IH', 'N', 'EY', 'D', 'AH']","['gren', 'ada']","['gren', 'ada']",0.0,1.05e-06,"[21, 30, 10, 27, 9, 18, 3, 0]"
ericsson,"['EH', 'R', 'IH', 'K', 'S', 'AH', 'N']","['eric', 'sson']","['eric', 'sson']",0.0,1.05e-06,"[7, 30, 10, 24, 31, 3, 27, 0]"
reprints,"['R', 'IY', 'P', 'R', 'IH', 'N', 'T', 'S']","['re', 'prints']","['re', 'prints']",0.0,1.07e-06,"[30, 11, 29, 30, 10, 27, 33, 31]"
unsubscribe,"['AH', 'N', 'S', 'AH', 'B', 'S', 'K', 'R', 'AY', 'B']","['un', 'sub', 'scribe']","['un', 'sub', 'scribe']",0.0,1.07e-06,"[3, 27, 31, 3, 16, 31, 24, 30]"
ata,"['AA', 'T', 'AH']",['ata'],['ata'],0.0,1.1e-06,"[1, 33, 3, 0, 0, 0, 0, 0]"
gnu,"['N', 'UW']",['gnu'],['gnu'],0.0,1.1e-06,"[27, 15, 0, 0, 0, 0, 0, 0]"
workstation,"['W', 'ER', 'K', 'S', 'T', 'EY', 'SH', 'AH', 'N']","['work', 'sta', 'tion']","['work', 'station']",0.09090909090909091,1.1e-06,"[36, 8, 24, 31, 33, 9, 32, 3]"
