word,arpabet,syllables,tokenized_word,hamming_distance,word_frequency,phon_vec
into,"['IH', 'N', 'T', 'UW']","['in', 'to']",['into'],0.25,0.00129,"[10, 27, 33, 15, 0, 0, 0, 0]"
another,"['AH', 'N', 'AH', 'DH', 'ER']","['an', 'oth', 'er']",['another'],0.2857142857142857,0.00055,"[3, 27, 3, 19, 8, 0, 0, 0]"
different,"['D', 'IH', 'F', 'ER', 'AH', 'N', 'T']","['dif', 'fer', 'ent']",['different'],0.2222222222222222,0.000389,"[18, 10, 20, 8, 3, 27, 33, 0]"
told,"['T', 'OW', 'L', 'D']",['told'],"['t', 'old']",0.25,0.000347,"[33, 12, 25, 18, 0, 0, 0, 0]"
including,"['IH', 'N', 'K', 'L', 'UW', 'D', 'IH', 'NG']","['in', 'clud', 'ing']",['including'],0.2222222222222222,0.000331,"[10, 27, 24, 25, 15, 18, 10, 28]"
national,"['N', 'AE', 'SH', 'AH', 'N', 'AH', 'L']","['na', 'tion', 'al']",['national'],0.25,0.000324,"[27, 2, 32, 3, 27, 3, 25, 0]"
believe,"['B', 'IH', 'L', 'IY', 'V']","['be', 'lieve']","['bel', 'ieve']",0.2857142857142857,0.000324,"[16, 10, 25, 11, 35, 0, 0, 0]"
american,"['AH', 'M', 'EH', 'R', 'AH', 'K', 'AH', 'N']","['amer', 'ic', 'an']",['american'],0.25,0.000309,"[3, 26, 7, 30, 3, 24, 3, 27]"
actually,"['AE', 'K', 'CH', 'AH', 'W', 'AH', 'L', 'IY']","['ac', 'tu', 'ally']",['actually'],0.25,0.000309,"[2, 24, 17, 3, 36, 3, 25, 11]"
general,"['JH', 'EH', 'N', 'ER', 'AH', 'L']","['gen', 'er', 'al']",['general'],0.2857142857142857,0.000295,"[23, 7, 27, 8, 3, 25, 0, 0]"
following,"['F', 'AA', 'L', 'OW', 'IH', 'NG']","['fol', 'low', 'ing']",['following'],0.2222222222222222,0.000288,"[20, 1, 25, 12, 10, 28, 0, 0]"
important,"['IH', 'M', 'P', 'AO', 'R', 'T', 'AH', 'N', 'T']","['im', 'port', 'ant']",['important'],0.2222222222222222,0.000275,"[10, 26, 29, 4, 30, 33, 3, 27]"
information,"['IH', 'N', 'F', 'ER', 'M', 'EY', 'SH', 'AH', 'N']","['in', 'form', 'a', 'tion']",['information'],0.2727272727272727,0.000269,"[10, 27, 20, 8, 26, 9, 32, 3]"
guys,"['G', 'AY', 'Z']",['guys'],"['gu', 'ys']",0.25,0.000257,"[21, 6, 38, 0, 0, 0, 0, 0]"
guy,"['G', 'AY']",['guy'],"['g', 'uy']",0.3333333333333333,0.000251,"[21, 6, 0, 0, 0, 0, 0, 0]"
become,"['B', 'IH', 'K', 'AH', 'M']","['be', 'come']","['bec', 'ome']",0.3333333333333333,0.000251,"[16, 10, 24, 3, 26, 0, 0, 0]"
several,"['S', 'EH', 'V', 'R', 'AH', 'L']","['sev', 'er', 'al']","['se', 'veral']",0.42857142857142855,0.000245,"[31, 7, 35, 30, 3, 25, 0, 0]"
university,"['Y', 'UW', 'N', 'AH', 'V', 'ER', 'S', 'AH', 'T', 'IY']","['uni', 'ver', 'sity']","['un', 'iversity']",0.3,0.000245,"[37, 15, 27, 3, 35, 8, 31, 3]"
remember,"['R', 'IH', 'M', 'EH', 'M', 'B', 'ER']","['re', 'mem', 'ber']",['remember'],0.25,0.00024,"[30, 10, 26, 7, 26, 16, 8, 0]"
york,"['Y', 'AO', 'R', 'K']",['york'],"['y', 'ork']",0.25,0.000234,"[37, 4, 30, 24, 0, 0, 0, 0]"
saying,"['S', 'EY', 'IH', 'NG']","['say', 'ing']","['s', 'aying']",0.3333333333333333,0.000234,"[31, 9, 10, 28, 0, 0, 0, 0]"
international,"['IH', 'N', 'T', 'ER', 'N', 'AE', 'SH', 'AH', 'N', 'AH', 'L']","['in', 'ter', 'na', 'tion', 'al']",['international'],0.3076923076923077,0.000229,"[10, 27, 33, 8, 27, 2, 32, 3]"
saw,"['S', 'AO']",['saw'],"['s', 'aw']",0.3333333333333333,0.000219,"[31, 4, 0, 0, 0, 0, 0, 0]"
fucking,"['F', 'AH', 'K', 'IH', 'NG']","['fuck', 'ing']","['f', 'ucking']",0.2857142857142857,0.000214,"[20, 3, 24, 10, 28, 0, 0, 0]"
police,"['P', 'AH', 'L', 'IY', 'S']","['po', 'lice']","['pol', 'ice']",0.3333333333333333,0.000214,"[29, 3, 25, 11, 31, 0, 0, 0]"
morning,"['M', 'AO', 'R', 'N', 'IH', 'NG']","['morn', 'ing']","['mor', 'ning']",0.2857142857142857,0.000214,"[26, 4, 30, 27, 10, 28, 0, 0]"
development,"['D', 'IH', 'V', 'EH', 'L', 'AH', 'P', 'M', 'AH', 'N', 'T']","['de', 'vel', 'op', 'ment']",['development'],0.2727272727272727,0.000204,"[18, 10, 35, 7, 25, 3, 29, 26]"
further,"['F', 'ER', 'DH', 'ER']","['fur', 'ther']","['f', 'urther']",0.2857142857142857,0.000204,"[20, 8, 19, 8, 0, 0, 0, 0]"
