word,arpabet,syllables,tokenized_word,hamming_distance,word_frequency,phon_vec
cedar,"['S', 'IY', 'D', 'ER']","['ce', 'dar']","['c', 'ed', 'ar']",0.6,5.75e-06,"[31, 11, 18, 8, 0, 0, 0, 0]"
jesus,"['JH', 'IY', 'Z', 'AH', 'S']","['je', 'sus']","['j', 'es', 'us']",0.6,9.77e-05,"[23, 11, 38, 3, 31, 0, 0, 0]"
encyclopedia,"['IH', 'N', 'S', 'AY', 'K', 'L', 'AH', 'P', 'IY', 'D', 'IY', 'AH']","['en', 'cyc', 'lo', 'pe', 'dia']","['enc', 'ycl', 'op', 'edia']",0.5833333333333334,3.31e-06,"[10, 27, 31, 6, 24, 25, 3, 29]"
antonio,"['AE', 'N', 'T', 'OW', 'N', 'IY', 'OW']","['ant', 'o', 'nio']","['an', 'ton', 'io']",0.5714285714285714,1.48e-05,"[2, 27, 33, 12, 27, 11, 12, 0]"
librarian,"['L', 'AY', 'B', 'R', 'EH', 'R', 'IY', 'AH', 'N']","['lib', 'rar', 'i', 'an']","['l', 'ibr', 'arian']",0.5555555555555556,3.89e-06,"[25, 6, 16, 30, 7, 30, 11, 3]"
compaq,"['K', 'AA', 'M', 'P', 'AE', 'K']","['com', 'paq']","['comp', 'a', 'q']",0.5,5.5e-07,"[24, 1, 26, 29, 2, 24, 0, 0]"
harris,"['HH', 'EH', 'R', 'IH', 'S']","['har', 'ris']","['h', 'arr', 'is']",0.5,2.75e-05,"[22, 7, 30, 10, 31, 0, 0, 0]"
wagner,"['W', 'AE', 'G', 'N', 'ER']","['wag', 'n', 'er']","['w', 'agner']",0.5,5.13e-06,"[36, 2, 21, 27, 8, 0, 0, 0]"
syracuse,"['S', 'IH', 'R', 'AH', 'K', 'Y', 'UW', 'Z']","['syra', 'cuse']","['s', 'yr', 'ac', 'use']",0.5,4.17e-06,"[31, 10, 30, 3, 24, 37, 15, 38]"
indianapolis,"['IH', 'N', 'D', 'IY', 'AH', 'N', 'AE', 'P', 'AH', 'L', 'IH', 'S']","['in', 'di', 'ana', 'pol', 'is']","['ind', 'ian', 'apolis']",0.5,6.61e-06,"[10, 27, 18, 11, 3, 27, 2, 29]"
lynn,"['L', 'IH', 'N']",['lynn'],"['l', 'yn', 'n']",0.5,7.24e-06,"[25, 10, 27, 0, 0, 0, 0, 0]"
vienna,"['V', 'IY', 'EH', 'N', 'AH']","['vi', 'enna']","['v', 'ien', 'na']",0.5,9.55e-06,"[35, 11, 7, 27, 3, 0, 0, 0]"
canadian,"['K', 'AH', 'N', 'EY', 'D', 'IY', 'AH', 'N']","['ca', 'na', 'dian']","['can', 'ad', 'ian']",0.5,5.01e-05,"[24, 3, 27, 9, 18, 11, 3, 27]"
millennium,"['M', 'AH', 'L', 'EH', 'N', 'IY', 'AH', 'M']","['mil', 'len', 'ni', 'um']","['mill', 'enn', 'ium']",0.5,5.01e-06,"[26, 3, 25, 7, 27, 11, 3, 26]"
indian,"['IH', 'N', 'D', 'IY', 'AH', 'N']","['in', 'di', 'an']","['ind', 'ian']",0.5,8.13e-05,"[10, 27, 18, 11, 3, 27, 0, 0]"
slovenia,"['S', 'L', 'OW', 'V', 'IY', 'N', 'IY', 'AH']","['slov', 'e', 'nia']","['sl', 'oven', 'ia']",0.5,2.57e-06,"[31, 25, 12, 35, 11, 27, 11, 3]"
sodium,"['S', 'OW', 'D', 'IY', 'AH', 'M']","['so', 'di', 'um']","['sod', 'ium']",0.5,7.41e-06,"[31, 12, 18, 11, 3, 26, 0, 0]"
saddam,"['S', 'AA', 'D', 'AH', 'M']","['sad', 'dam']","['s', 'add', 'am']",0.5,2.75e-06,"[31, 1, 18, 3, 26, 0, 0, 0]"
ryan,"['R', 'AY', 'AH', 'N']","['ry', 'an']","['r', 'yan']",0.5,3.89e-05,"[30, 6, 3, 27, 0, 0, 0, 0]"
nascar,"['N', 'AE', 'S', 'K', 'AA', 'R']","['nas', 'car']","['n', 'asc', 'ar']",0.5,5.75e-06,"[27, 2, 31, 24, 1, 30, 0, 0]"
unto,"['AH', 'N', 'T', 'UW']","['un', 'to']","['unt', 'o']",0.5,9.12e-06,"[3, 27, 33, 15, 0, 0, 0, 0]"
deluxe,"['D', 'AH', 'L', 'AH', 'K', 'S']","['de', 'luxe']","['del', 'ux', 'e']",0.5,5.25e-06,"[18, 3, 25, 3, 24, 31, 0, 0]"
harrison,"['HH', 'EH', 'R', 'IH', 'S', 'AH', 'N']","['har', 'ris', 'on']","['h', 'arr', 'ison']",0.5,1.2e-05,"[22, 7, 30, 10, 31, 3, 27, 0]"
nissan,"['N', 'IY', 'S', 'AA', 'N']","['nis', 'san']","['n', 'iss', 'an']",0.5,4.9e-06,"[27, 11, 31, 1, 27, 0, 0, 0]"
cincinnati,"['S', 'IH', 'N', 'S', 'AH', 'N', 'AE', 'T', 'IY']","['cin', 'cin', 'nati']","['c', 'inc', 'inn', 'ati']",0.5,9.12e-06,"[31, 10, 27, 31, 3, 27, 2, 33]"
july,"['JH', 'UW', 'L', 'AY']","['ju', 'ly']","['j', 'uly']",0.5,0.000148,"[23, 15, 25, 6, 0, 0, 0, 0]"
mozambique,"['M', 'OW', 'Z', 'AE', 'M', 'B', 'IY', 'K']","['mozam', 'bi', 'que']","['mo', 'z', 'amb', 'ique']",0.5,1.95e-06,"[26, 12, 38, 2, 26, 16, 11, 24]"
honduras,"['HH', 'AA', 'N', 'D', 'UH', 'R', 'AH', 'S']","['hon', 'dur', 'as']","['h', 'ond', 'uras']",0.5,3.98e-06,"[22, 1, 27, 18, 14, 30, 3, 31]"
luis,"['L', 'UW', 'IY', 'S']","['lu', 'is']","['l', 'uis']",0.5,9.77e-06,"[25, 15, 11, 31, 0, 0, 0, 0]"
tigers,"['T', 'AY', 'G', 'ER', 'Z']","['ti', 'gers']","['t', 'ig', 'ers']",0.5,1.41e-05,"[33, 6, 21, 8, 38, 0, 0, 0]"
