word,arpabet,syllables,tokenized_word,hamming_distance,word_frequency,phon_vec
springfield,"['S', 'P', 'R', 'IH', 'NG', 'F', 'IY', 'L', 'D']","['spring', 'field']","['spring', 'field']",0.0,6.17e-06,"[31, 29, 30, 10, 28, 20, 11, 25]"
sailing,"['S', 'EY', 'L', 'IH', 'NG']","['sail', 'ing']","['sail', 'ing']",0.0,9.77e-06,"[31, 9, 25, 10, 28, 0, 0, 0]"
graduation,"['G', 'R', 'AE', 'JH', 'UW', 'EY', 'SH', 'AH', 'N']","['gradu', 'ation']","['gradu', 'ation']",0.0,1.17e-05,"[21, 30, 2, 23, 15, 9, 32, 3]"
previews,"['P', 'R', 'IY', 'V', 'Y', 'UW', 'Z']","['pre', 'views']","['pre', 'views']",0.0,2.14e-06,"[29, 30, 11, 35, 37, 15, 38, 0]"
newton,"['N', 'UW', 'T', 'AH', 'N']","['new', 'ton']","['new', 'ton']",0.0,8.71e-06,"[27, 15, 33, 3, 27, 0, 0, 0]"
springer,"['S', 'P', 'R', 'IH', 'NG', 'ER']","['spring', 'er']","['spring', 'er']",0.0,3.72e-06,"[31, 29, 30, 10, 28, 8, 0, 0]"
disclose,"['D', 'IH', 'S', 'K', 'L', 'OW', 'Z']","['dis', 'close']","['dis', 'close']",0.0,6.92e-06,"[18, 10, 31, 24, 25, 12, 38, 0]"
mixer,"['M', 'IH', 'K', 'S', 'ER']","['mix', 'er']","['mix', 'er']",0.0,3.16e-06,"[26, 10, 24, 31, 8, 0, 0, 0]"
fabulous,"['F', 'AE', 'B', 'Y', 'AH', 'L', 'AH', 'S']","['fab', 'ulous']","['fab', 'ulous']",0.0,1.2e-05,"[20, 2, 16, 37, 3, 25, 3, 31]"
bookings,"['B', 'UH', 'K', 'IH', 'NG', 'Z']","['book', 'ings']","['book', 'ings']",0.0,2.14e-06,"[16, 14, 24, 10, 28, 38, 0, 0]"
serum,"['S', 'IH', 'R', 'AH', 'M']","['ser', 'um']","['ser', 'um']",0.0,5.5e-06,"[31, 10, 30, 3, 26, 0, 0, 0]"
tariff,"['T', 'EH', 'R', 'AH', 'F']","['tar', 'iff']","['tar', 'iff']",0.0,3.09e-06,"[33, 7, 30, 3, 20, 0, 0, 0]"
manor,"['M', 'AE', 'N', 'ER']","['man', 'or']","['man', 'or']",0.0,6.46e-06,"[26, 2, 27, 8, 0, 0, 0, 0]"
breeding,"['B', 'R', 'IY', 'D', 'IH', 'NG']","['breed', 'ing']","['breed', 'ing']",0.0,1.2e-05,"[16, 30, 11, 18, 10, 28, 0, 0]"
shipment,"['SH', 'IH', 'P', 'M', 'AH', 'N', 'T']","['ship', 'ment']","['ship', 'ment']",0.0,5.75e-06,"[32, 10, 29, 26, 3, 27, 33, 0]"
schedules,"['S', 'K', 'EH', 'JH', 'UH', 'L', 'Z']","['sched', 'ules']","['sched', 'ules']",0.0,6.46e-06,"[31, 24, 7, 23, 14, 25, 38, 0]"
newcastle,"['N', 'UW', 'K', 'AE', 'S', 'AH', 'L']","['new', 'castle']","['new', 'castle']",0.0,1.17e-05,"[27, 15, 24, 2, 31, 3, 25, 0]"
mentor,"['M', 'EH', 'N', 'T', 'AO', 'R']","['ment', 'or']","['ment', 'or']",0.0,8.51e-06,"[26, 7, 27, 33, 4, 30, 0, 0]"
maiden,"['M', 'EY', 'D', 'AH', 'N']","['maid', 'en']","['maid', 'en']",0.0,6.61e-06,"[26, 9, 18, 3, 27, 0, 0, 0]"
drainage,"['D', 'R', 'EY', 'N', 'AH', 'JH']","['drain', 'age']","['drain', 'age']",0.0,5.89e-06,"[18, 30, 9, 27, 3, 23, 0, 0]"
nickel,"['N', 'IH', 'K', 'AH', 'L']","['nick', 'el']","['nick', 'el']",0.0,6.61e-06,"[27, 10, 24, 3, 25, 0, 0, 0]"
elephant,"['EH', 'L', 'AH', 'F', 'AH', 'N', 'T']","['ele', 'phant']","['ele', 'phant']",0.0,1.2e-05,"[7, 25, 3, 20, 3, 27, 33, 0]"
postcard,"['P', 'OW', 'S', 'T', 'K', 'AA', 'R', 'D']","['post', 'card']","['post', 'card']",0.0,2.75e-06,"[29, 12, 31, 33, 24, 1, 30, 18]"
newport,"['N', 'UW', 'P', 'AO', 'R', 'T']","['new', 'port']","['new', 'port']",0.0,6.03e-06,"[27, 15, 29, 4, 30, 33, 0, 0]"
wellness,"['W', 'EH', 'L', 'N', 'AH', 'S']","['well', 'ness']","['well', 'ness']",0.0,3.72e-06,"[36, 7, 25, 27, 3, 31, 0, 0]"
venues,"['V', 'EH', 'N', 'UW', 'Z']","['ven', 'ues']","['ven', 'ues']",0.0,8.32e-06,"[35, 7, 27, 15, 38, 0, 0, 0]"
wishing,"['W', 'IH', 'SH', 'IH', 'NG']","['wish', 'ing']","['wish', 'ing']",0.0,8.71e-06,"[36, 10, 32, 10, 28, 0, 0, 0]"
england,"['IH', 'NG', 'G', 'L', 'AH', 'N', 'D']","['eng', 'land']","['eng', 'land']",0.0,0.000132,"[10, 28, 21, 25, 3, 27, 18, 0]"
christmas,"['K', 'R', 'IH', 'S', 'M', 'AH', 'S']","['christ', 'mas']","['christ', 'mas']",0.0,8.13e-05,"[24, 30, 10, 31, 26, 3, 31, 0]"
newman,"['N', 'UW', 'M', 'AH', 'N']","['new', 'man']","['new', 'man']",0.0,6.76e-06,"[27, 15, 26, 3, 27, 0, 0, 0]"
newfoundland,"['N', 'UW', 'F', 'AH', 'N', 'D', 'L', 'AH', 'N', 'D']","['new', 'found', 'land']","['new', 'found', 'land']",0.0,2.4e-06,"[27, 15, 20, 3, 27, 18, 25, 3]"
necklace,"['N', 'EH', 'K', 'L', 'AH', 'S']","['neck', 'lace']","['neck', 'lace']",0.0,7.08e-06,"[27, 7, 24, 25, 3, 31, 0, 0]"
luggage,"['L', 'AH', 'G', 'AH', 'JH']","['lug', 'gage']","['lug', 'gage']",0.0,6.31e-06,"[25, 3, 21, 3, 23, 0, 0, 0]"
upgrades,"['AH', 'P', 'G', 'R', 'EY', 'D', 'Z']","['up', 'grades']","['up', 'grades']",0.0,6.03e-06,"[3, 29, 21, 30, 9, 18, 38, 0]"
vegas,"['V', 'EY', 'G', 'AH', 'S']","['ve', 'gas']","['ve', 'gas']",0.0,2.63e-05,"[35, 9, 21, 3, 31, 0, 0, 0]"
softball,"['S', 'AO', 'F', 'T', 'B', 'AO', 'L']","['soft', 'ball']","['soft', 'ball']",0.0,4.57e-06,"[31, 4, 20, 33, 16, 4, 25, 0]"
merger,"['M', 'ER', 'JH', 'ER']","['mer', 'ger']","['mer', 'ger']",0.0,9.33e-06,"[26, 8, 23, 8, 0, 0, 0, 0]"
papua,"['P', 'AE', 'P', 'Y', 'UW', 'AH']","['pap', 'ua']","['pap', 'ua']",0.0,2.63e-06,"[29, 2, 29, 37, 15, 3, 0, 0]"
spanish,"['S', 'P', 'AE', 'N', 'IH', 'SH']","['span', 'ish']","['span', 'ish']",0.0,5.37e-05,"[31, 29, 2, 27, 10, 32, 0, 0]"
jersey,"['JH', 'ER', 'Z', 'IY']","['jer', 'sey']","['jer', 'sey']",0.0,4.57e-05,"[23, 8, 38, 11, 0, 0, 0, 0]"
paris,"['P', 'EH', 'R', 'IH', 'S']","['par', 'is']","['par', 'is']",0.0,6.61e-05,"[29, 7, 30, 10, 31, 0, 0, 0]"
mailing,"['M', 'EY', 'L', 'IH', 'NG']","['mail', 'ing']","['mail', 'ing']",0.0,3.98e-06,"[26, 9, 25, 10, 28, 0, 0, 0]"
trustee,"['T', 'R', 'AH', 'S', 'T', 'IY']","['trust', 'ee']","['trust', 'ee']",0.0,4.79e-06,"[33, 30, 3, 31, 33, 11, 0, 0]"
validity,"['V', 'AH', 'L', 'IH', 'D', 'AH', 'T', 'IY']","['valid', 'ity']","['valid', 'ity']",0.0,5.01e-06,"[35, 3, 25, 10, 18, 3, 33, 11]"
arbor,"['AA', 'R', 'B', 'ER']","['ar', 'bor']","['ar', 'bor']",0.0,3.09e-06,"[1, 30, 16, 8, 0, 0, 0, 0]"
cocktail,"['K', 'AA', 'K', 'T', 'EY', 'L']","['cock', 'tail']","['cock', 'tail']",0.0,7.76e-06,"[24, 1, 24, 33, 9, 25, 0, 0]"
midlands,"['M', 'IH', 'D', 'L', 'AE', 'N', 'D', 'Z']","['mid', 'lands']","['mid', 'lands']",0.0,4.9e-06,"[26, 10, 18, 25, 2, 27, 18, 38]"
reprints,"['R', 'IY', 'P', 'R', 'IH', 'N', 'T', 'S']","['re', 'prints']","['re', 'prints']",0.0,1.07e-06,"[30, 11, 29, 30, 10, 27, 33, 31]"
