word,arpabet,syllables,tokenized_word,hamming_distance,word_frequency,phon_vec
julian,"['JH', 'UW', 'L', 'IY', 'AH', 'N']","['ju', 'li', 'an']","['j', 'ul', 'ian']",0.6666666666666666,9.77e-06,"[23, 15, 25, 11, 3, 27, 0, 0]"
arabia,"['ER', 'EY', 'B', 'IY', 'AH']","['ar', 'a', 'bia']","['a', 'rab', 'ia']",0.6666666666666666,1.32e-05,"[8, 9, 16, 11, 3, 0, 0, 0]"
slovenia,"['S', 'L', 'OW', 'V', 'IY', 'N', 'IY', 'AH']","['slov', 'e', 'nia']","['s', 'lo', 'ven', 'ia']",0.625,2.57e-06,"[31, 25, 12, 35, 11, 27, 11, 3]"
zimbabwe,"['Z', 'IH', 'M', 'B', 'AA', 'B', 'W', 'EY']","['zi', 'm', 'b', 'ab', 'we']","['z', 'imbabwe']",0.625,5.37e-06,"[38, 10, 26, 16, 1, 16, 36, 9]"
julie,"['JH', 'UW', 'L', 'IY']","['ju', 'lie']","['j', 'ul', 'ie']",0.6,1.23e-05,"[23, 15, 25, 11, 0, 0, 0, 0]"
sudan,"['S', 'UW', 'D', 'AE', 'N']","['su', 'dan']","['s', 'ud', 'an']",0.6,7.94e-06,"[31, 15, 18, 2, 27, 0, 0, 0]"
iraqi,"['IH', 'R', 'AE', 'K', 'IY']","['ir', 'aqi']","['i', 'raq', 'i']",0.6,8.91e-06,"[10, 30, 2, 24, 11, 0, 0, 0]"
antigua,"['AE', 'N', 'T', 'IY', 'G', 'W', 'AH']","['an', 'ti', 'gua']","['ant', 'ig', 'ua']",0.5714285714285714,1.2e-06,"[2, 27, 33, 11, 21, 36, 3, 0]"
nigeria,"['N', 'AY', 'JH', 'IH', 'R', 'IY', 'AH']","['ni', 'ger', 'ia']","['n', 'ig', 'eria']",0.5714285714285714,2.14e-05,"[27, 6, 23, 10, 30, 11, 3, 0]"
quebec,"['K', 'W', 'AH', 'B', 'EH', 'K']","['que', 'bec']","['qu', 'eb', 'ec']",0.5,9.33e-06,"[24, 36, 3, 16, 7, 24, 0, 0]"
mongolia,"['M', 'AA', 'NG', 'G', 'OW', 'L', 'IY', 'AH']","['mon', 'go', 'lia']","['m', 'ong', 'olia']",0.5,2.19e-06,"[26, 1, 28, 21, 12, 25, 11, 3]"
hugh,"['HH', 'Y', 'UW']",['hugh'],"['h', 'u', 'gh']",0.5,1.02e-05,"[22, 37, 15, 0, 0, 0, 0, 0]"
munich,"['M', 'Y', 'UW', 'N', 'IH', 'K']","['mu', 'nich']","['m', 'un', 'ich']",0.5,8.91e-06,"[26, 37, 15, 27, 10, 24, 0, 0]"
