word,arpabet,syllables,tokenized_word,hamming_distance,word_frequency,phon_vec
app,"['AE', 'P']",['app'],['app'],0.0,7.24e-05,"[2, 29, 0, 0, 0, 0, 0, 0]"
lenses,"['L', 'EH', 'N', 'Z', 'AH', 'Z']",['lenses'],['lenses'],0.0,5.89e-06,"[25, 7, 27, 38, 3, 38, 0, 0]"
punk,"['P', 'AH', 'NG', 'K']",['punk'],['punk'],0.0,1.58e-05,"[29, 3, 28, 24, 0, 0, 0, 0]"
dropped,"['D', 'R', 'AA', 'P', 'T']",['dropped'],['dropped'],0.0,5.37e-05,"[18, 30, 1, 29, 33, 0, 0, 0]"
walter,"['W', 'AO', 'L', 'T', 'ER']","['wal', 'ter']","['wal', 'ter']",0.0,2.29e-05,"[36, 4, 25, 33, 8, 0, 0, 0]"
pace,"['P', 'EY', 'S']",['pace'],['pace'],0.0,2.4e-05,"[29, 9, 31, 0, 0, 0, 0, 0]"
wage,"['W', 'EY', 'JH']",['wage'],['wage'],0.0,2.75e-05,"[36, 9, 23, 0, 0, 0, 0, 0]"
arc,"['AA', 'R', 'K']",['arc'],['arc'],0.0,1.62e-05,"[1, 30, 24, 0, 0, 0, 0, 0]"
hosts,"['HH', 'OW', 'S', 'T', 'S']",['hosts'],['hosts'],0.0,1.7e-05,"[22, 12, 31, 33, 31, 0, 0, 0]"
atlas,"['AE', 'T', 'L', 'AH', 'S']","['at', 'las']","['at', 'las']",0.0,6.31e-06,"[2, 33, 25, 3, 31, 0, 0, 0]"
strings,"['S', 'T', 'R', 'IH', 'NG', 'Z']",['strings'],['strings'],0.0,1.1e-05,"[31, 33, 30, 10, 28, 38, 0, 0]"
dawn,"['D', 'AO', 'N']",['dawn'],['dawn'],0.0,1.86e-05,"[18, 4, 27, 0, 0, 0, 0, 0]"
feels,"['F', 'IY', 'L', 'Z']",['feels'],['feels'],0.0,7.94e-05,"[20, 11, 25, 38, 0, 0, 0, 0]"
coat,"['K', 'OW', 'T']",['coat'],['coat'],0.0,2.29e-05,"[24, 12, 33, 0, 0, 0, 0, 0]"
