word1,word2,label
aerospace,aftertastes,1
syntax,comebacks,1
reduced,joost,1
substitute,crapshoot,1
boot,knute,1
won,kuhne,1
thru,hugh,1
speak,zeke,1
shine,heyen,1
realty,apogee,1
juice,yous,1
expand,lande,1
trash,asche,1
cocktail,annandale,1
cigarettes,swetz,1
offset,willette,1
preston,predestine,1
threat,hugette,1
everyday,o'dea,1
flat,deslatte,1
severe,smear,1
within,winne,1
follow,wallo,1
aids,cascades',1
hurricane,kardashian,1
midi,mccredie,1
spam,hamme,1
shadow,digaetano,1
exam,hamme,1
discovery,labrie,1
key,xie,1
ids,frese,1
mtv,gnc,1
micro,inflow,1
sport,laporte,1
lou,mcnew,1
decor,dore,1
dense,spens,1
tale,unveil,1
grade,waid,1
tackle,yakel,1
railway,andrei,1
adelaide,ricocheted,1
picks,bix,1
specified,parkside,1
bob,robbe,1
money,munni,1
allow,blough,1
finite,whitenight,1
square,midair,1
history,marjorie,1
chorus,morris',1
summary,audrie,1
true,ramu,1
champagne,hayn,1
holly,ollie,1
cheque,nobec,1
zen,antenne,1
symphony,melanie,1
nobody,bhatti,1
cure,rednour,1
tomato,barlowe,1
promote,roat,1
foam,strome,1
stereo,bungalow,1
mad,radde,1
sms,ellesse,1
holiday,ricostruzione,1
hydraulic,wallick,1
buys,bise,1
min,finne,1
thesaurus,morris',1
try,shai,1
navy,tavie,1
ham,hamme,1
satisfy,autodie,1
ref,steffe,1
delay,manet,1
equally,ottilie,1
agreed,grede,1
every,marjorie,1
flu,depew,1
lord,warde,1
okay,abbe,1
route,scoot,1
laid,slade,1
income,norodom,1
ellis,helice,1
violin,prynne,1
inns,twins',1
shade,dismayed,1
psychological,demichele,1
rely,frie,1
mine,shein,1
advise,fry's,1
brain,frane,1
wholesale,fantail,1
two,withdrew,1
oman,ronne,1
mozambique,reeck,1
weak,rieke,1
supplements,lorenz,1
reveal,viele,1
kenny,palmertree,1
killed,childe,1
mode,blowed,1
effect,wrecked,1
baltimore,aancor,1
back,haq,1
ceramic,shramek,1
expect,wrecked,1
brunette,tibet,1
digest,progressed,1
praise,k's,1
empire,allgaier,1
ken,antenne,1
dose,adios,1
notified,wilhide,1
hayes,kase,1
worn,orne,1
xml,grelle,1
sheer,myhre,1
check,stec,1
favorite,margaret,1
disagree,fop,1
rod,hodde,1
glucose,chikos,1
dicke,klick,1
tan,kanne,1
stability,steketee,1
