word1,word2,label
aerospace,reiterates,1
syntax,drawbacks,1
reduced,reust,1
substitute,bitterroot,1
boot,disrepute,1
won,overdone,1
thru,tattoo,1
speak,henriques,1
shine,feyen,1
realty,paulie,1
juice,asmus,1
expand,vallegrande,1
trash,rasche,1
cocktail,barksdale,1
cigarettes,mets',1
offset,follette,1
preston,intestine,1
threat,marzette,1
everyday,bouquet,1
flat,prevatte,1
severe,zamfir,1
within,glavine,1
follow,musalo,1
aids,maids',1
hurricane,forebrain,1
midi,mccreadie,1
spam,goddamn,1
shadow,umberto,1
exam,goddamn,1
discovery,gutherie,1
key,powerpc,1
ids,sinise,1
mtv,mcbee,1
micro,outflow,1
sport,laforte,1
lou,heroux,1
decor,hardcore,1
dense,misrepresents,1
tale,withnail,1
grade,underpaid,1
tackle,jackel,1
railway,gourmet,1
adelaide,rubbermaid,1
picks,knicks',1
specified,communitywide,1
bob,miserables,1
money,bunnie,1
allow,qingdao,1
finite,floodlight,1
square,reher,1
history,viguerie,1
chorus,horace,1
summary,comrie,1
true,jammu,1
champagne,partain,1
holly,sollie,1
cheque,polytech,1
zen,cayenne,1
symphony,canonie,1
nobody,maggie,1
cure,amanpour,1
tomato,wardlow,1
promote,choat,1
foam,jacome,1
stereo,withrow,1
mad,riyadh,1
sms,finesse,1
holiday,ricochet,1
hydraulic,paulick,1
buys,upsize,1
min,glavine,1
thesaurus,horace,1
try,goodbye,1
navy,davie,1
ham,goddamn,1
satisfy,magpie,1
ref,reph,1
delay,jonbenet,1
equally,coralie,1
agreed,lipide,1
every,reverie,1
flu,heroux,1
lord,laborde,1
okay,piaget,1
route,beabout,1
laid,lemonade,1
income,goodrum,1
ellis,ellice,1
violin,glavine,1
inns,hinze,1
shade,prepaid,1
psychological,chronicle,1
rely,goodbye,1
mine,feyen,1
advise,theis,1
brain,lafontaine,1
wholesale,ponytail,1
two,llanview,1
oman,sorbonne,1
mozambique,henriques,1
weak,manrique,1
supplements,lentzsch,1
reveal,camille,1
kenny,oglesbee,1
killed,mathilde,1
mode,busload,1
effect,unchecked,1
baltimore,syncor,1
back,chirac,1
ceramic,hamtramck,1
expect,unchecked,1
brunette,fournet,1
digest,oppressed,1
praise,touvier's,1
empire,stottlemyer,1
ken,cayenne,1
dose,doorenbos,1
notified,iodide,1
hayes,blaize,1
worn,radborne,1
xml,maybelle,1
sheer,briere,1
check,quebec,1
favorite,carteret,1
disagree,irit,1
rod,escalade,1
glucose,cisneros,1
dicke,ostpolitik,1
tan,lyanne,1
stability,crumitie,1
metric,metrick,1
tennessee,knbc,1
amplifier,campfire,1
mario,pouliot,1
need,lipide,1
favourite,carteret,1
men,cayenne,1
thumb,hohum,1
teen,florine,1
rocks,stocks',1
burns,returns',1
furthermore,hycor,1
contain,fontaine,1
longitude,fastfood,1
scan,louanne,1
porn,radborne,1
campaign,fontaine,1
when,cayenne,1
pos,gosse,1
known,flintstone,1
headset,averette,1
ecuador,normcore,1
dee,irit,1
skilled,mathilde,1
metallic,allick,1
flesh,wesche,1
crude,mahmoud,1
strain,tirane,1
azerbaijan,sorbonne,1
waste,misplaced,1
chose,tarots,1
test,oppressed,1
gene,carleen,1
guitar,navarre,1
box,stock's,1
fruit,subacute,1
banana,mahannah,1
degree,guaranty,1
remote,choat,1
deal,camille,1
hobby,bobbie,1
bean,ravine,1
chicago,carlow,1
