word1,word2,label
nicole,boal,1
eric,burich,1
like,weich,1
functionality,steketee,1
highways,replicase,1
lie,xuemei,1
metric,hettrick,1
gourmet,grandpre,1
reel,viele,1
excel,dwelle,1
lite,benight,1
few,kazoo,1
sale,weyl,1
sweet,skeete,1
new,loux,1
drew,shamu,1
tone,hoen,1
glasgow,guantanamo,1
thumb,maam,1
czech,wnek,1
bike,eich,1
jackie,iraqi,1
arcade,usaid,1
gear,shere,1
fleece,edris,1
example,pampel,1
phil,wille,1
bin,rinne,1
mississippi,tippie,1
critical,mericle,1
gone,haughn,1
anymore,mazor,1
mba,maclay,1
reviews,jews',1
premiere,speir,1
docs,brox,1
cruz,roos,1
mentor,fennimore,1
orlando,undertow,1
healthcare,ryanair,1
bytes,feitz,1
dale,jamail,1
apply,bae,1
raleigh,mccauley,1
myrtle,ertel,1
pitch,piche,1
automobile,clendaniel,1
lone,groen,1
who,peugh,1
advice,kies,1
optical,mericle,1
name,flaim,1
specially,rosalie,1
pantyhose,eskimos,1
tracked,diffract,1
tail,maille,1
christianity,steketee,1
jane,frein,1
rocky,zachi,1
inquire,beijer,1
mesh,lafleche,1
played,mcglade,1
chile,hiley,1
allah,lala,1
mice,geiss,1
karaoke,dokey,1
enemy,anomie,1
lamb,dirlam,1
gore,lamaur,1
anywhere,cosmair,1
judy,trudie,1
subcommittee,ditty,1
quotes,notes',1
boutique,siek,1
which,piche,1
bone,hoen,1
raid,heyde,1
milan,stephane,1
heat,chafete,1
bookstore,centocor,1
essays,mase,1
pale,abimael,1
protein,gabardine,1
dialogue,gundog,1
clinics,pinnix,1
identity,wedowee,1
bronze,livan's,1
carefully,emslie,1
near,beare,1
global,knoble,1
maternity,steketee,1
suites,tietz,1
pat,delatte,1
thou,sadao,1
nude,hued,1
these,v's,1
tech,chek,1
twins,skins',1
classic,fasick,1
northwest,coalesced,1
ice,feis,1
ties,guys',1
iran,sonne,1
impose,guandjo's,1
deborah,eleuthera,1
ability,tatsukichi,1
fire,meier,1
halloween,sistine,1
sphere,dornier,1
gene,mcmeen,1
blame,baim,1
que,cmu,1
gregory,mcmurtrie,1
vary,cherie,1
away,hwe,1
height,lafite,1
might,twite,1
programme,birmingham,1
article,equivocal,1
shore,bator,1
based,lambaste,1
introductory,gutherie,1
anytime,floresheim,1
catherine,condren,1
pool,sproule,1
flesh,creche,1
cameron,catherine,1
pose,renault's,1
suggest,celeste,1
continually,atalie,1
cruise,jews,1
veteran,catherine,1
identical,clavicle,1
outline,weinstein,1
miami,ramey,1
quebec,vanvleck,1
wow,cao,1
mercury,patrie,1
fail,nale,1
routine,killeen,1
wheat,jobete,1
mini,sliney,1
maine,krein,1
compete,piet,1
door,faure,1
soap,elope,1
van,ranh,1
merry,cherie,1
soon,inopportune,1
totally,ottilie,1
don,daane,1
abc,florini,1
play,o'dea,1
set,sette,1
were,schnur,1
secure,gochnour,1
surprise,why's,1
toolbox,echohawk's,1
appear,belvedere,1
shame,haim,1
indoor,kishore,1
ratio,whitrow,1
street,uncomplete,1
thai,wye,1
nearby,shanghai,1
belize,tv's,1
spyware,alastair,1
perfume,suhm,1
france,schranz,1
mystery,gutherie,1
tokyo,goddeau,1
labor,fabre,1
benz,ken's,1
knee,capri,1
reload,lode,1
sight,terabyte,1
disagree,beaudry,1
calculate,airfreight,1
theme,rheem,1
lifetime,opheim,1
furthermore,accor,1
berry,alarie,1
belle,frel,1
joan,milone,1
picked,sticht,1
magazine,grinstein,1
depot,defilippo,1
hurricane,forebrain,1
tricks,styx,1
overview,khufu,1
disclose,ufos,1
upset,fradette,1
flow,legault,1
periodically,atalie,1
advertise,preoccupies,1
porn,warne,1
rise,geis,1
integrate,airfreight,1
hairy,alarie,1
hire,schwier,1
betty,hettie,1
rich,triche,1
interviews,andrews',1
satisfied,joyride,1
weight,frate,1
mens,pens',1
deck,tec,1
photograph,riffraff,1
stephanie,phylogeny,1
view,kalamazoo,1
array,maye,1
tire,plier,1
peru,hewe,1
thumbnail,mondale,1
bow,cao,1
blackjack,compaq,1
low,tetreault,1
clan,banh,1
yea,klay,1
mariah,zelaya,1
income,mishawum,1
mali,sollie,1
incomplete,neet,1
line,jain,1
empirical,icicle,1
quite,mcwright,1
lawsuit,telecommute,1
deadline,firesign,1
idle,homicidal,1
ferry,carie,1
busy,rizzi,1
none,huhn,1
adelaide,upbraid,1
lies,krise,1
ease,vees,1
below,rheault,1
disability,steketee,1
notify,popeye,1
grande,laband,1
how,rao,1
occasionally,librizzi,1
modified,harborside,1
gradually,emslie,1
deaf,steffe,1
supplies,kise,1
stocks,jacques',1
qui,dupuis,1
alice,callis,1
trees,congolese,1
hole,stohl,1
pins,inns',1
family,emelie,1
cardiac,amtrack,1
