word1,word2,label
nicole,abrol,1
eric,herrick,1
like,vanschaick,1
functionality,crumitie,1
highways,polyphase,1
lie,underly,1
metric,tetrick,1
gourmet,horseplay,1
reel,camille,1
excel,arnelle,1
lite,reit,1
few,fourtou,1
sale,withnail,1
sweet,marquerite,1
new,perdue,1
drew,unglue,1
tone,dijon,1
glasgow,diodato,1
thumb,exum,1
czech,quebec,1
bike,vanschaick,1
jackie,macchi,1
arcade,underplayed,1
gear,crochetiere,1
fleece,magness,1
example,ampal,1
phil,belleville,1
bin,dechine,1
mississippi,shippey,1
critical,vesicle,1
gone,mogayon,1
anymore,antiwar,1
mba,calais,1
reviews,underuse,1
premiere,chusmir,1
docs,adcox,1
cruz,underuse,1
mentor,kenmore,1
orlando,archambeau,1
healthcare,sleepwear,1
bytes,reitz,1
dale,withnail,1
apply,sarraj,1
raleigh,qualley,1
myrtle,hertel,1
pitch,fritzsche,1
automobile,treadwheel,1
lone,mckown,1
who,marrou,1
advice,theiss,1
optical,vesicle,1
name,exclaim,1
specially,natalie,1
pantyhose,overthrows,1
tracked,reenact,1
tail,schmale,1
christianity,crumitie,1
jane,costain,1
rocky,busalacchi,1
inquire,striar,1
mesh,wesche,1
played,unmade,1
chile,friley,1
allah,ayala,1
mice,kreiss,1
karaoke,rocchi,1
enemy,nashnamie,1
lamb,mcclam,1
gore,antiwar,1
anywhere,forebear,1
judy,moodie,1
subcommittee,fulginiti,1
quotes,ploetz,1
boutique,vanbeek,1
which,fritzsche,1
bone,calderon,1
raid,serenade,1
milan,sorbonne,1
heat,lanete,1
bookstore,delcor,1
essays,paiz,1
pale,withnail,1
protein,vitarine,1
dialogue,hotdog,1
clinics,minnix,1
identity,lanktree,1
bronze,teherans,1
carefully,emilie,1
near,crochetiere,1
global,grenoble,1
maternity,crumitie,1
suites,rietz,1
pat,prevatte,1
thou,bilbao,1
nude,nonfood,1
these,powerpcs,1
tech,quebec,1
twins,hinze,1
classic,gasich,1
northwest,repossessed,1
ice,kreiss,1
ties,sensationalize,1
iran,sorbonne,1
impose,plainclothes,1
deborah,lenora,1
ability,davinci,1
fire,tyer,1
halloween,godine,1
sphere,orear,1
gene,arleen,1
blame,sejm,1
que,karatsu,1
gregory,labrie,1
vary,terrie,1
away,roget,1
height,nonwhite,1
might,clevite,1
programme,cockerham,1
article,maniacal,1
shore,antiwar,1
based,foretaste,1
introductory,imrie,1
anytime,ingelheim,1
catherine,tamarin,1
pool,bellefeuille,1
flesh,wesche,1
cameron,nitroglycerine,1
pose,plainclothes,1
suggest,dispossessed,1
continually,natalie,1
cruise,worldnews,1
veteran,nitroglycerine,1
identical,vesicle,1
outline,fishbein,1
miami,lammey,1
quebec,schneck,1
wow,bilbao,1
mercury,comrie,1
fail,schmale,1
routine,marcin,1
wheat,gamete,1
mini,winnie,1
maine,yeargain,1
compete,vanfleet,1
door,livermore,1
soap,koeppe,1
van,cezanne,1
merry,macquarrie,1
soon,mckune,1
totally,natalie,1
don,sorbonne,1
abc,bugbee,1
play,roget,1
set,barrette,1
were,ramseur,1
secure,amanpour,1
surprise,theis,1
toolbox,skyhawks,1
appear,cohere,1
shame,sejm,1
indoor,finamore,1
ratio,mistletoe,1
street,kriete,1
thai,overfly,1
nearby,dongmei,1
belize,dreis,1
spyware,conair,1
perfume,mcbroom,1
france,pomeranz,1
mystery,comrie,1
tokyo,cashflow,1
labor,lesabre,1
benz,cheyennes,1
knee,guarani,1
reload,shrode,1
sight,nonwhite,1
disagree,marquis,1
calculate,counterweight,1
theme,seraphim,1
lifetime,anaheim,1
furthermore,goldcor,1
berry,macquarrie,1
belle,marcantel,1
joan,perone,1
picked,schlicht,1
magazine,zumstein,1
depot,filippo,1
hurricane,mcilwain,1
tricks,transfix,1
overview,otterloo,1
disclose,plainclothes,1
upset,arlette,1
flow,begnaud,1
periodically,nathalie,1
advertise,hoverflies,1
porn,radborne,1
rise,theis,1
integrate,paperweight,1
hairy,carrie,1
hire,prier,1
betty,pettie,1
rich,fritzsche,1
interviews,soyuz,1
satisfied,ketcherside,1
weight,overate,1
mens,henze,1
deck,quebec,1
photograph,hackstaff,1
stephanie,bethany,1
view,igou,1
array,lihue,1
tire,tyer,1
peru,mcknew,1
thumbnail,mcingvale,1
bow,qingdao,1
blackjack,rempac,1
low,garceau,1
clan,carryanne,1
yea,overstay,1
mariah,himalaya,1
income,goodrum,1
mali,holley,1
incomplete,unseat,1
line,heyen,1
empirical,vesicle,1
quite,enwright,1
lawsuit,electrocute,1
deadline,nothstein,1
idle,reidel,1
ferry,aerie,1
busy,izzi,1
none,byun,1
adelaide,ansaid,1
lies,upsize,1
ease,resignees,1
below,ungo,1
disability,crumitie,1
notify,necktie,1
grande,outmanned,1
how,qingdao,1
occasionally,ciccone,1
modified,wilhide,1
gradually,nathalie,1
deaf,reph,1
supplies,sensationalize,1
stocks,outfox,1
qui,markee,1
alice,valis,1
trees,senegalese,1
hole,abrol,1
pins,hinze,1
family,nathalie,1
cardiac,nyack,1
hawaii,arendsee,1
waste,unplaced,1
technological,vesicle,1
pete,downbeat,1
backed,inexact,1
hair,multimillionaire,1
squad,riyadh,1
clone,mckown,1
probability,maggie,1
liechtenstein,trunkline,1
caroline,goldstein,1
ron,sorbonne,1
throat,underwrote,1
praise,overplays,1
moon,mckune,1
inter,furrh,1
spies,decriminalize,1
lawn,terrebonne,1
ebay,curare,1
neighbor,lefebvre,1
azerbaijan,sorbonne,1
decline,heyen,1
eight,commutate,1
idaho,steinroe,1
chose,stavros,1
rare,kreher,1
principal,holsapple,1
shock,iraq,1
eclipse,microchips,1
repair,concessionaire,1
honey,bunnie,1
atmospheric,sherrick,1
tue,fourtou,1
clinic,minnick,1
clocks,outfox,1
knew,chengdu,1
outdoor,finamore,1
internet,guillemette,1
refresh,wesche,1
settle,gretal,1
parliamentary,henrie,1
right,clevite,1
jon,sorbonne,1
follow,manalo,1
assessed,intrawest,1
stereo,backhoe,1
dna,jonbenet,1
pro,y'know,1
meter,vanmetre,1
clause,inlaws,1
nice,theiss,1
sheet,kriete,1
core,antiwar,1
pair,takecare,1
decade,mislaid,1
hypothetical,hornbuckle,1
net,rivette,1
game,sejm,1
midwest,finessed,1
sie,powerpc,1
refinance,pomeranz,1
float,outvote,1
salon,sorbonne,1
thee,guarani,1
etc,barbara,1
syntax,haystacks,1
bare,whitehair,1
introduce,tyus,1
ciao,kowtow,1
juvenile,learonal,1
prefer,furrh,1
hello,kowtow,1
jail,schmale,1
syracuse,soyuz,1
laid,brocade,1
economy,nashnamie,1
rarely,airlie,1
script,outstripped,1
eliminate,deadweight,1
eagle,siegal,1
everyone,blowgun,1
keys,sinise,1
taxi,maxcy,1
charlie,arley,1
jerry,berrie,1
clinical,hornbuckle,1
pioneer,crochetiere,1
revenues,soyuz,1
soundtrack,eastpac,1
ids,cadiz,1
day,lihue,1
ozone,vanloan,1
fees,senegalese,1
john,sorbonne,1
always,polyphase,1
blonde,durand,1
unlike,vanschaick,1
cool,bellefeuille,1
ukraine,hussein,1
affiliate,hundredweight,1
illegal,speegle,1
compute,cahouet,1
committee,fulginiti,1
engineer,crochetiere,1
audi,broadie,1
occur,furrh,1
compaq,fishback,1
pierre,gisclair,1
thereby,mihai,1
ash,rasche,1
derek,mesenteric,1
weak,henrique,1
numeric,gericke,1
oak,misspoke,1
feet,excrete,1
mit,duryee,1
sunset,bissonnette,1
fifteen,maxine,1
thirty,combee,1
reggae,rabalais,1
sample,ampal,1
prize,theis,1
bee,thierry,1
tvs,journalese,1
monday,burundi,1
juan,sorbonne,1
total,schoettle,1
terrace,ahasuerus,1
white,enwright,1
suicide,blowdried,1
chicks,intermix,1
receipt,marquerite,1
lease,devries,1
job,miserables,1
larry,carrie,1
require,dyar,1
supply,mihai,1
tongue,nueyung,1
champagne,mcgrain,1
repeat,marquerite,1
design,macalpine,1
mumbai,underly,1
harry,terrie,1
omaha,philyaw,1
many,rennie,1
throw,thebeau,1
harvey,garvie,1
specs,govpx,1
mood,seclude,1
finally,natalie,1
remain,lorraine,1
shown,hipbone,1
female,airmail,1
male,withnail,1
news,underuse,1
physical,vesicle,1
documentary,comrie,1
bizarre,almanzar,1
guest,dispossessed,1
blessed,intrawest,1
trek,polytech,1
sticks,transfix,1
blah,brisbois,1
greece,magness,1
nest,dispossessed,1
annie,chalasani,1
louisville,gemfibrozil,1
stat,prevatte,1
geek,henrique,1
ideal,enrile,1
taiwan,sorbonne,1
those,plainclothes,1
wholesale,greenmail,1
buys,emprise,1
studio,brownlow,1
choose,worldnews,1
antique,ashcreek,1
valentine,finkelstein,1
dad,riyadh,1
mario,pouliot,1
rebate,clickbait,1
villa,lilah,1
temporarily,emilie,1
readily,nathalie,1
mechanics,mannix,1
boat,outvote,1
dicks,intermix,1
died,misguide,1
jesse,vessey,1
prairie,carrey,1
light,clevite,1
reveal,enrile,1
academy,nashnamie,1
glance,pomeranz,1
berlin,glavine,1
scale,withnail,1
july,dongmei,1
span,lianne,1
pan,liane,1
cod,riyadh,1
min,dechine,1
rec,polytech,1
dairy,sherrie,1
whose,worldnews,1
everywhere,neckwear,1
anyway,yonsei,1
earthquake,daybreak,1
peak,henriques,1
rely,dongmei,1
chi,overfly,1
memo,farrow,1
canal,chorale,1
annex,rednecks,1
pie,overfly,1
doe,lambeau,1
heavily,nathalie,1
savannah,villasana,1
digest,finessed,1
nec,polytech,1
paragraph,overstaff,1
vat,prevatte,1
operate,paperweight,1
analyses,penikese,1
thy,dongmei,1
square,reher,1
luxury,viguerie,1
jeremy,liberace,1
locate,clickbait,1
hockey,teriyaki,1
metro,scarecrow,1
filled,mathilde,1
applies,decriminalize,1
eventually,emilie,1
amd,comiskey,1
reg,vegh,1
church,lerche,1
duke,dziuk,1
ethical,vesicle,1
threat,ellette,1
jet,rockette,1
campaign,tirane,1
raw,artois,1
recognize,hoverflies,1
intel,giselle,1
known,scavone,1
back,chirac,1
anthony,cheramie,1
food,seclude,1
bay,lihue,1
brunei,underly,1
finance,pomeranz,1
historic,yorrick,1
within,dechine,1
spine,heyen,1
thru,unglue,1
reed,lipide,1
showed,overrode,1
danny,mannie,1
witch,fritzsche,1
binary,panini,1
mad,riyadh,1
substantially,nathalie,1
mechanical,vesicle,1
sparc,starck,1
cuisine,macqueen,1
treaty,beatie,1
gain,lorraine,1
between,levine,1
outlet,robinette,1
nil,courville,1
vaccine,sharleen,1
complete,indiscreet,1
airfare,dragonair,1
vice,deiss,1
sox,ballcocks,1
japan,lianne,1
intensity,crumitie,1
fair,kenmare,1
mercy,ursie,1
pike,vanschaick,1
utilize,hoverflies,1
website,bullfight,1
birthday,schlumberger,1
sir,furrh,1
dirty,purtee,1
dare,kreher,1
theoretical,vesicle,1
career,crochetiere,1
may,nihei,1
mac,schlack,1
wins,hinze,1
creek,henrique,1
murray,murree,1
medical,coracle,1
carry,barrie,1
marco,marcoe,1
mary,carrie,1
noble,sobol,1
flight,nonwhite,1
meet,lanete,1
grad,riyadh,1
accessed,slugfest,1
easy,veazie,1
node,busload,1
romance,pomeranz,1
glad,riyadh,1
die,sarraj,1
grey,naivete,1
agree,powerpc,1
potentially,nathalie,1
replied,westside,1
explain,dewayne,1
meal,camille,1
overnight,satterwhite,1
dressed,telequest,1
glory,corrie,1
high,underly,1
nationally,natalie,1
concentrate,counterweight,1
preview,hokuriku,1
that,prevatte,1
workflow,pinnochio,1
price,kreiss,1
week,henrique,1
barry,barrie,1
rear,crochetiere,1
pays,blaize,1
law,ashbaugh,1
thrown,bayonne,1
dried,misguide,1
leslie,lessley,1
reply,dongmei,1
nose,tarots,1
shadow,humberto,1
offline,gutwein,1
trio,steinroe,1
pottery,comrie,1
therefore,talmor,1
stay,nihei,1
jan,suzanne,1
crash,rasche,1
rotary,comrie,1
disputes,schuetze,1
runs,kunze,1
chassis,glassey,1
kai,underly,1
elsewhere,egyptair,1
offset,jenrette,1
logos,melrose,1
complimentary,labrie,1
indicate,paperweight,1
lottery,comrie,1
strike,vanschaick,1
pharmaceutical,vesicle,1
four,gilgore,1
email,schmale,1
became,sejm,1
mailman,bethanne,1
celebrate,deadweight,1
medicine,augustson,1
severe,zamfir,1
despite,enright,1
cisco,wadlow,1
peace,magness,1
advise,theis,1
society,crumitie,1
war,elnore,1
guarantees,belize,1
daddy,sadie,1
dvd,barbee,1
cabinet,sultanate,1
had,riyadh,1
size,theis,1
chance,pomeranz,1
nudity,crumitie,1
mathematical,vesicle,1
memory,viguerie,1
clara,mcgarrah,1
phi,overfly,1
denied,misguide,1
dow,qingdao,1
yet,louisette,1
shine,bornstein,1
signs,heinze,1
tear,geniere,1
undertake,daybreak,1
vehicle,morrical,1
equally,natalie,1
scene,papin,1
bali,holley,1
kentucky,mcluckie,1
your,livermore,1
plan,maryanne,1
afghanistan,bethanne,1
locally,nathalie,1
shade,mislaid,1
italy,natalie,1
sons,kunze,1
dubai,overfly,1
acre,bakker,1
brad,riyadh,1
