word1,word2,label
peace,friess,1
paid,charade,1
incomplete,veit,1
court,laporte,1
qualified,germicide,1
tune,impugn,1
clarke,harc,1
worn,horne,1
istanbul,tuyle,1
fun,simeone,1
reduced,ruest,1
outside,plied,1
apply,kanai,1
nokia,kizziah,1
summary,hendrie,1
pair,beaufrere,1
and,klabunde,1
multiple,subprincipal,1
avenue,taku,1
factory,rotisserie,1
released,trieste,1
jon,ronne,1
assessed,indigest,1
surgery,gregorie,1
delivery,hendrie,1
latitude,lindamood,1
hobby,dobbie,1
reasonable,tractebel,1
this,risse,1
drew,ledoux,1
jerry,laprairie,1
char,gregoire,1
generally,atalie,1
chicks,bix,1
defines,karlheinz,1
slow,gaudreau,1
political,barnacle,1
indoor,lakeshore,1
empire,tegtmeyer,1
stock,haacke,1
son,kuhne,1
ready,edye,1
thee,aretsky,1
crew,zhou,1
johnny,johnie,1
retrieve,sanjiv,1
perfume,blum,1
locked,concoct,1
plan,lucianne,1
adjustable,mehitabel,1
shadow,shinto,1
signs,lines',1
fees,trustees',1
eric,weyrich,1
midwest,repossessed,1
reviews,shmooze,1
bureau,demuro,1
astronomy,mcnamee,1
swiss,buice,1
door,paramore,1
hairy,arie,1
hans,ensconce,1
castle,grassl,1
bizarre,lahr,1
hopefully,emelie,1
need,aristede,1
para,farah,1
potentially,oralie,1
cheap,phillipe,1
raw,sirois,1
easily,ottilie,1
afraid,mcquaide,1
wide,scheid,1
battery,valerie,1
twice,heiss,1
syracuse,macandrews,1
tear,freyre,1
dna,cathay,1
hack,paque,1
whose,spews,1
piss,buice,1
paraguay,inoue,1
determine,schurman,1
reality,iguchi,1
attacks,jacques',1
crazy,bruzzese,1
francisco,briscoe,1
trustees,freese,1
initially,atalie,1
annually,emslie,1
naturally,oralie,1
file,theil,1
pantyhose,buffalos,1
subcommittee,ditty,1
merry,aerie,1
jamie,jami,1
coal,sowle,1
petite,mistreat,1
mac,bakke,1
grave,kunaev,1
aol,boutelle,1
steel,terrile,1
screen,xene,1
let,racette,1
sea,fop,1
seal,lucille,1
lucky,mcluckie,1
follow,lovallo,1
tile,mikhail,1
arcade,buffeted,1
divide,syed,1
jet,claudette,1
easy,adelizzi,1
mic,schnick,1
motel,vandaele,1
fort,laporte,1
gene,laureen,1
forget,doucette,1
diary,rotisserie,1
shoe,whew,1
her,myrrh,1
aim,damme,1
catherine,fondren,1
price,feis,1
produce,yous,1
zoom,exhume,1
highlight,hashemite,1
dialogue,leapfrog,1
boot,voute,1
impressed,penwest,1
gary,metairie,1
fucked,destruct,1
already,edye,1
use,coos,1
uzbekistan,janeane,1
done,bruhn,1
blocks,coxe,1
came,kaim,1
bet,pruette,1
ver,we're,1
tar,zarre,1
indices,ladies',1
marc,darke,1
foam,krome,1
bio,legault,1
orgy,georgie,1
peru,larue,1
satisfied,garside,1
step,deppe,1
rarely,fairlie,1
singapore,meritor,1
amy,jaimie,1
lafayette,chet,1
check,nobec,1
black,nacke,1
trade,bayed,1
nicole,proehl,1
century,mcmurtrie,1
deep,heape,1
plans,fans',1
noon,koone,1
norway,d'amore,1
specify,seelye,1
queue,egnew,1
peer,giere,1
she,lxi,1
delight,brite,1
votes,notes',1
burst,merced,1
palace,dallas,1
wrist,reminisced,1
fist,reminisced,1
parliamentary,demeree,1
defense,spens,1
austria,kizziah,1
substitute,countersuit,1
unlike,schweich,1
france,duran's,1
due,dfw,1
shoot,degroote,1
shadows,microprose,1
dose,grohs,1
surveys,days',1
los,grosz,1
bouquet,yakutakay,1
peninsula,mahalah,1
feedback,gopac,1
marine,mcbreen,1
northwest,acquiesced,1
alike,speich,1
bruce,seuss,1
really,rylee,1
until,douville,1
dubai,semidry,1
work,declerque,1
stan,joanne,1
align,strine,1
ide,syed,1
yahoo,kotzebue,1
incredible,cristobal,1
protein,hydrazine,1
yet,minette,1
grocery,marjorie,1
cox,ochs,1
marketplace,aftertastes,1
kentucky,drucie,1
tale,lail,1
machine,oquin,1
headline,nonalign,1
michel,mizelle,1
prague,mogg,1
nest,fessed,1
chest,reassessed,1
pottery,demeree,1
romance,duran's,1
wise,geis,1
unified,bonafide,1
tied,lide,1
revenue,zulu,1
vip,yangtze,1
usually,rosalie,1
finally,amalie,1
replied,chide,1
liable,tractebel,1
savannah,avana,1
lose,sues,1
wines,mines',1
optimize,mystifies,1
adobe,robey,1
eau,renaud,1
mpg,hardegree,1
halloween,submachine,1
fellow,augello,1
break,schwake,1
julie,yuli,1
fur,we're,1
wrote,gloat,1
comparable,mehitabel,1
capable,tractebel,1
institute,bandicoot,1
theatre,hovatter,1
prefer,nurre,1
concern,byrne,1
there,macnair,1
essentially,emelie,1
has,pizazz,1
brunei,isty,1
racks,jacques',1
payable,tractebel,1
rack,brakke,1
pioneer,cleere,1
choose,stews,1
customize,acidifies,1
derek,weyrich,1
