word1,word2,label
peace,chambless,1
paid,manmade,1
incomplete,backseat,1
court,laforte,1
qualified,kilbride,1
tune,karun,1
clarke,transpark,1
worn,o'diorne,1
istanbul,misrule,1
fun,outdone,1
reduced,reust,1
outside,belied,1
apply,xuemei,1
nokia,minutiae,1
summary,henrie,1
pair,frontiere,1
and,ormonde,1
multiple,oedipal,1
avenue,zenchu,1
factory,henrie,1
released,toniest,1
jon,forgone,1
assessed,behest,1
surgery,henrie,1
delivery,gutherie,1
latitude,ensrud,1
hobby,scobee,1
reasonable,mirabal,1
this,reminisce,1
drew,theroux,1
jerry,ferrie,1
char,navarre,1
generally,nathalie,1
chicks,intermix,1
defines,heinze,1
slow,marceaux,1
political,hornbuckle,1
indoor,salvatore,1
empire,stegmaier,1
stock,vocke,1
son,outdone,1
ready,freddye,1
thee,gretzky,1
crew,ramu,1
johnny,vonnie,1
retrieve,satanjeev,1
perfume,mcbroom,1
locked,focht,1
plan,diane,1
adjustable,mirabal,1
shadow,diodato,1
signs,heinze,1
fees,sinise,1
eric,sherrick,1
midwest,finessed,1
reviews,underuse,1
bureau,arturo,1
astronomy,hysterectomies,1
swiss,reminisce,1
door,elnore,1
hairy,carrie,1
hans,lesperance,1
castle,kassel,1
bizarre,farrar,1
hopefully,nathalie,1
need,intercede,1
para,farrah,1
potentially,coralie,1
cheap,tepe,1
raw,gravois,1
easily,nathalie,1
afraid,pervade,1
wide,untied,1
battery,reverie,1
twice,deiss,1
syracuse,soyuz,1
tear,kenmare,1
dna,callais,1
hack,dulac,1
whose,worldnews,1
piss,reminisce,1
paraguay,rabalais,1
determine,berman,1
reality,dimare,1
attacks,antitax,1
crazy,maisie,1
francisco,siscoe,1
trustees,journalese,1
initially,coralie,1
annually,emilie,1
naturally,natalie,1
file,monteil,1
pantyhose,falsettos,1
subcommittee,fulginiti,1
merry,barrie,1
jamie,eighmey,1
coal,mccole,1
petite,unseat,1
mac,shellack,1
grave,unfav,1
aol,leavelle,1
steel,camille,1
screen,francine,1
let,poquette,1
sea,nabil,1
seal,enrile,1
lucky,truckee,1
follow,manalo,1
tile,kurzweil,1
arcade,underpaid,1
divide,belied,1
jet,bassette,1
easy,veazie,1
mic,vanwyk,1
motel,ardelle,1
fort,laforte,1
gene,vanveen,1
forget,bissette,1
diary,viguerie,1
shoe,karatsu,1
her,furrh,1
aim,fayme,1
catherine,pickren,1
price,kreiss,1
produce,asmus,1
zoom,entomb,1
highlight,wilhite,1
dialogue,hotdog,1
boot,permute,1
impressed,intrawest,1
gary,barrie,1
fucked,abduct,1
already,peddie,1
use,asmus,1
uzbekistan,ferdinand,1
done,hyun,1
blocks,adcox,1
came,disclaim,1
bet,legette,1
ver,furrh,1
tar,delebarre,1
indices,penikese,1
marc,starck,1
foam,mccomb,1
bio,vienneau,1
orgy,forgie,1
peru,depew,1
satisfied,curbside,1
step,boztepe,1
rarely,airlie,1
singapore,bancor,1
amy,jamie,1
lafayette,maillet,1
check,quebec,1
black,dulac,1
trade,overplayed,1
nicole,espanol,1
century,viguerie,1
deep,tepe,1
plans,franze,1
noon,bethune,1
norway,rabalais,1
specify,mordechai,1
queue,llanview,1
peer,cohere,1
she,nabil,1
delight,tonite,1
votes,ploetz,1
burst,rehearsed,1
palace,ballasts,1
wrist,jeanbaptiste,1
fist,baptiste,1
parliamentary,imrie,1
defense,ferenc,1
austria,minutiae,1
substitute,offshoot,1
unlike,vanschaick,1
france,pomeranz,1
due,carilou,1
shoot,permute,1
shadows,bellrose,1
dose,doorenbos,1
surveys,paiz,1
los,bowse,1
bouquet,mackay,1
peninsula,methuselah,1
feedback,westpac,1
marine,shirleen,1
northwest,finessed,1
alike,vanschaick,1
bruce,asmus,1
really,wyllie,1
until,courville,1
dubai,overfly,1
work,clercq,1
stan,fayanne,1
align,recombine,1
ide,untied,1
yahoo,miscue,1
incredible,mirabal,1
protein,elephantine,1
yet,cornette,1
grocery,coterie,1
cox,ballcocks,1
marketplace,reiterates,1
kentucky,chuckie,1
tale,withnail,1
machine,kathleen,1
headline,pfundstein,1
michel,leavelle,1
prague,prolog,1
nest,finessed,1
chest,finessed,1
pottery,labrie,1
romance,pomeranz,1
wise,decries,1
unified,silverside,1
tied,subdivide,1
revenue,plainview,1
vip,ratterree,1
usually,coralie,1
finally,coralie,1
replied,misguide,1
liable,mirabal,1
savannah,dulciana,1
lose,worldnews,1
wines,heinze,1
optimize,lullabies,1
adobe,tobey,1
eau,foucault,1
mpg,sightsee,1
halloween,francine,1
fellow,corbello,1
break,betake,1
julie,bewley,1
fur,furrh,1
wrote,uncoat,1
comparable,mirabal,1
capable,mirabal,1
institute,offshoot,1
theatre,rioter,1
prefer,furrh,1
concern,stearne,1
there,dreher,1
essentially,emilie,1
has,pizzazz,1
brunei,untie,1
racks,antitax,1
payable,mirabal,1
rack,dulac,1
pioneer,financiere,1
choose,renews,1
customize,misidentifies,1
derek,gericke,1
gourmet,newsday,1
steady,freddye,1
latvia,minutiae,1
via,obadiah,1
aurora,gomorrah,1
became,disclaim,1
lingerie,hideaway,1
exec,polytech,1
reproduce,reuss,1
narrow,marrero,1
monaco,longbow,1
payday,ryohei,1
interest,hardpressed,1
proceed,intercede,1
alexandria,minutiae,1
glory,dorie,1
jun,lajeune,1
heel,camille,1
strain,germane,1
equipped,nondescript,1
burn,stearne,1
green,florine,1
ghost,riposte,1
shown,mckone,1
ghana,hannah,1
anyway,ryohei,1
con,christiane,1
bee,jeanlouis,1
shareware,sleepwear,1
sustainable,mirabal,1
routes,schuetze,1
