word1,word2,label
tricks,transfix,1
libraries,penikese,1
sale,travail,1
tight,tonite,1
finite,newsnight,1
votes,ploetz,1
keep,tepe,1
worry,murrie,1
picks,transfix,1
thumb,exum,1
studio,whitlow,1
notify,potpie,1
guaranteed,lipide,1
regime,seraphim,1
sue,marrou,1
sorts,schwarze,1
highs,reprise,1
phil,courville,1
clarke,starck,1
view,leroux,1
hans,nonchalance,1
connecticut,sophisticate,1
asset,bissonnette,1
fool,misrule,1
raid,unmade,1
fine,heyen,1
release,brocious,1
ban,carryanne,1
nba,parquet,1
hole,skoal,1
tail,schmale,1
pee,powerpc,1
offshore,longcor,1
designs,heinze,1
clear,persevere,1
immune,karun,1
chile,milley,1
mentor,onshore,1
brunette,minaret,1
crew,meiyuh,1
mali,smalley,1
rotary,comrie,1
connectivity,crumitie,1
guatemala,kabbalah,1
locate,hundredweight,1
rack,chirac,1
clicks,intermix,1
coat,rewrote,1
rarely,airlie,1
green,citrine,1
deny,underlie,1
debt,rillette,1
digest,finessed,1
strain,dushane,1
desire,myer,1
venice,duenas,1
mines,heinze,1
symantec,woodbeck,1
delight,overnite,1
mercury,boulangerie,1
whole,abrol,1
hindu,grandview,1
portfolio,brownlow,1
buy,underlie,1
knee,ziad,1
gen,cheyenne,1
obtain,duchaine,1
lolita,maxzide,1
adelaide,bridesmaid,1
luxury,reverie,1
rep,boztepe,1
sleep,tepe,1
ron,rapprochement,1
aaa,shinsei,1
nude,poohed,1
rock,iraq,1
participate,middleweight,1
tongue,myung,1
suit,enroute,1
where,whitehair,1
little,pytel,1
chassis,hassey,1
theatre,kilometer,1
police,chambless,1
keen,maxine,1
become,boyum,1
ascii,laskey,1
deadline,chemdesign,1
shareware,munsingwear,1
battery,boulangerie,1
juan,rapprochement,1
labor,lefebre,1
gray,hongwei,1
tree,ziad,1
medicine,venison,1
atmospheric,herrick,1
prize,underlies,1
clara,jarrod,1
newbie,actuality,1
treasury,boulangerie,1
analyses,penikese,1
ware,khmer,1
diary,labrie,1
feb,depositary,1
simplified,monosaccharide,1
andorra,gomorrah,1
satellite,drumwright,1
spotlight,carmelite,1
photos,melrose,1
mike,vanschaick,1
rely,underlie,1
norway,macrame,1
cheese,cadiz,1
puerto,carbonneau,1
two,mcknew,1
ash,rasche,1
sea,knbc,1
praise,chevrolets,1
excuse,tyus,1
restore,montemayor,1
taxi,maxcy,1
humanity,crumitie,1
some,narum,1
agrees,displease,1
pack,chirac,1
engineer,briere,1
peru,mcknew,1
evaluate,featherweight,1
impose,campeau's,1
though,inscoe,1
prepare,sinclair,1
workplace,reiterates,1
activity,crumitie,1
reed,lipide,1
cafe,shinsei,1
indices,penikese,1
interview,suzhou,1
bangkok,iraq,1
secure,mosur,1
moon,bethune,1
shadow,giacomo,1
von,foregone,1
rows,groseclose,1
exceed,lipide,1
allied,misguide,1
zone,mckown,1
mail,schmale,1
displayed,brocade,1
protein,heseltine,1
overnight,nonwhite,1
quotes,ploetz,1
guys,unwise,1
delhi,shelley,1
dial,belisle,1
photograph,biggerstaff,1
pens,menze,1
follow,musalo,1
mechanical,popsicle,1
pins,hinze,1
ref,reph,1
highlight,minorite,1
strict,handpicked,1
street,deplete,1
highways,polyphase,1
per,furrh,1
rest,finessed,1
zoo,subdue,1
customize,hoverflies,1
chronicle,morrical,1
laugh,giraffe,1
investigate,deadweight,1
cleaner,pasadena,1
lance,pomeranz,1
concrete,downbeat,1
website,basnight,1
nest,finessed,1
determine,mcdearmon,1
yamaha,philyaw,1
league,creagh,1
allah,marsala,1
neil,camille,1
fan,roxanne,1
mumbai,underly,1
whereas,inaez,1
cherry,berrie,1
loose,asmus,1
sites,reitz,1
seal,camille,1
freeze,absentees,1
missed,delist,1
bicycle,morrical,1
identical,popsicle,1
juvenile,internatonal,1
uni,moonie,1
era,farrah,1
dies,upsize,1
filled,mathilde,1
cute,cahouet,1
zen,cayenne,1
cradle,maidel,1
induced,reust,1
lady,eydie,1
food,exude,1
may,jacquet,1
identity,masayoshi,1
anyway,pohnpei,1
spray,croquet,1
budapest,hardpressed,1
jerry,terrie,1
dryer,enquire,1
sec,schneck,1
those,stavros,1
perfume,mcbroom,1
thursday,lingerie,1
compatibility,masayuki,1
meta,maxzide,1
load,outmode,1
chose,cousteau's,1
wrote,uncoat,1
role,espanol,1
butterfly,potpie,1
intel,adele,1
burke,declerck,1
sic,nonstick,1
aware,whitehair,1
throws,predispose,1
bouquet,mackay,1
mit,duryee,1
gnu,geroux,1
alone,calderon,1
motel,loiselle,1
track,chirac,1
hungary,labrie,1
hardware,dragonair,1
queen,godine,1
phi,underlie,1
snow,forego,1
los,morose,1
ali,colley,1
pan,dyane,1
dvds,displease,1
pete,backseat,1
spice,kreiss,1
ray,jacquet,1
pale,reil,1
tomato,greenhoe,1
mine,feyen,1
raise,iras,1
paperbacks,surtax,1
mix,chick's,1
cock,iraq,1
shoot,disrepute,1
inns,hinze,1
uri,murrey,1
stack,chirac,1
dui,overfly,1
borough,diodato,1
qatar,navarre,1
dynamic,hamtramck,1
high,underly,1
welfare,forebear,1
