word1,word2,label
packs,tax,1
sheer,severe,1
lou,flew,1
fix,tricks,1
cos,sauce,1
tomorrow,potato,1
biological,vehicle,1
fur,were,1
new,clue,1
kay,cafe,1
backed,act,1
night,quite,1
flows,nose,1
straight,date,1
der,were,1
jeremy,anti,1
act,backed,1
where,hair,1
docs,box,1
bee,ski,1
jose,lay,1
outside,tied,1
teen,routine,1
decade,raid,1
displays,phase,1
zoo,blue,1
discrete,eat,1
their,square,1
mit,sea,1
stocks,box,1
dee,ski,1
mba,cafe,1
company,anti,1
compare,chair,1
below,bro,1
mood,crude,1
three,ski,1
ballet,lay,1
light,white,1
illinois,roy,1
checked,elect,1
jane,reign,1
screw,through,1
buy,high,1
ethical,vehicle,1
mix,picks,1
clear,premiere,1
guru,statue,1
sphere,gear,1
chi,guy,1
care,fair,1
green,routine,1
meyer,wire,1
shoe,knew,1
acute,boot,1
affair,where,1
impact,packed,1
folk,spoke,1
tune,soon,1
flex,next,1
sight,bite,1
oak,woke,1
flow,ago,1
redeem,scheme,1
alphabetical,vehicle,1
ecological,vehicle,1
might,white,1
dicke,sick,1
street,suite,1
taste,faced,1
here,hear,1
supply,lie,1
dean,gene,1
fair,dare,1
pee,ski,1
whose,views,1
quite,fight,1
flu,blew,1
brain,lane,1
graphical,vehicle,1
abstract,backed,1
res,phase,1
delay,cafe,1
rows,those,1
chevy,anti,1
between,scene,1
higher,wire,1
wheat,elite,1
abc,nobody,1
feb,cemetery,1
geological,vehicle,1
dna,stay,1
throw,though,1
shows,close,1
reviewed,dude,1
pour,shore,1
near,severe,1
soul,whole,1
creek,unique,1
combo,glasgow,1
arcade,stayed,1
tax,backs,1
white,sight,1
damn,ham,1
pro,know,1
pole,coal,1
hughes,whose,1
overview,statue,1
cum,come,1
mac,hack,1
deluxe,bucks,1
floor,store,1
amd,bee,1
dispute,suit,1
break,stake,1
monaco,glasgow,1
aware,pair,1
mpg,bee,1
complete,eat,1
knee,ski,1
pride,tied,1
paste,faced,1
guys,wise,1
contain,lane,1
spare,fair,1
whole,goal,1
raid,parade,1
vertical,vehicle,1
statistical,vehicle,1
was,cause,1
tee,ski,1
obtain,lane,1
blocks,box,1
concrete,fleet,1
tropical,vehicle,1
rocks,box,1
square,swear,1
hayes,raise,1
air,square,1
spas,cause,1
grey,cafe,1
they,cafe,1
chevrolet,stay,1
phone,grown,1
thereby,lie,1
apply,lie,1
fee,ski,1
christine,lean,1
she,ski,1
teacher,creature,1
suite,beat,1
key,ski,1
decide,tied,1
choose,news,1
praise,rays,1
year,severe,1
nbc,key,1
beam,scheme,1
psi,rely,1
eat,elite,1
comply,tie,1
view,shoe,1
compaq,comeback,1
hole,bowl,1
parade,played,1
severe,ear,1
empirical,vehicle,1
drum,thumb,1
bite,tight,1
remain,plane,1
glow,bro,1
lite,night,1
monroe,pro,1
your,corps,1
display,cafe,1
cry,eye,1
optical,vehicle,1
fleet,elite,1
nest,stressed,1
ceo,though,1
sox,stocks,1
knows,pose,1
applied,provide,1
dressed,west,1
thrown,zone,1
kuwait,plate,1
flight,white,1
views,cruise,1
ignore,nor,1
technological,vehicle,1
technical,vehicle,1
slight,white,1
clean,gene,1
prior,wire,1
doc,stock,1
grow,hello,1
west,blessed,1
compressed,est,1
deer,premiere,1
heat,elite,1
invest,messed,1
you,new,1
request,pressed,1
replied,pride,1
cruise,shoes,1
cute,root,1
critical,vehicle,1
thee,ski,1
score,for,1
whore,door,1
foam,home,1
design,fine,1
fight,white,1
float,note,1
gore,nor,1
seek,unique,1
own,tone,1
gay,les,1
preview,statue,1
crude,viewed,1
phd,tree,1
lamb,slam,1
sur,were,1
label,table,1
missed,list,1
guy,bye,1
supplied,side,1
crew,blue,1
disease,keys,1
incomplete,treat,1
elite,wheat,1
guarantees,please,1
height,spite,1
rain,plane,1
cigarette,bet,1
probably,anti,1
implied,hide,1
sue,blew,1
bio,throw,1
photo,glasgow,1
aside,replied,1
aim,game,1
tract,backed,1
tour,pure,1
pursue,view,1
loan,phone,1
boys,noise,1
beer,premiere,1
ukraine,strain,1
size,flies,1
dies,size,1
mean,scene,1
passed,past,1
newbie,liberty,1
locks,box,1
door,shore,1
