word1,word2,label
japan,diane,1
mike,eich,1
stay,gaye,1
baltimore,libor,1
resume,croom,1
taxi,maxey,1
freight,collate,1
real,schiele,1
dry,switaj,1
uruguay,laissez,1
passed,lambaste,1
oak,bloke,1
jun,lajeune,1
reproduced,proust,1
overseas,journalese,1
trail,dayle,1
dame,baim,1
portuguese,beebe's,1
partially,ottilie,1
bye,xuemei,1
estate,plait,1
tried,macbride,1
own,dethrone,1
peru,rhue,1
lens,pens',1
compressed,celeste,1
agreed,bede,1
pat,ratte,1
restrict,ticked,1
vat,pratte,1
pain,elaine,1
back,nacke,1
max,macks,1
explore,loar,1
customize,terrifies,1
goal,pajole,1
thee,bibi,1
hardcore,livor,1
dairy,aerie,1
discrete,piet,1
their,herre,1
fight,recite,1
rocky,adachi,1
survey,quaye,1
por,deplore,1
ecological,cuticle,1
dial,hisle,1
specially,natalie,1
thorough,boro,1
jose,macknay,1
walnut,netiquette,1
votes,notes',1
dee,beaudry,1
hay,hefei,1
baseline,stoecklein,1
dvd,fop,1
advisory,audrie,1
assure,baldur,1
earthquake,beefsteak,1
yamaha,brisbois,1
wide,shied,1
delay,mccrea,1
defines,lines',1
protein,phillipine,1
compatibility,jedi,1
flux,bucs,1
ton,tonne,1
carry,denarii,1
mix,licks,1
rocks,brox,1
mali,dollie,1
possess,fluoresce,1
day,filet,1
cho,valleau,1
spy,switaj,1
ecuador,toystore,1
knee,benami,1
karaoke,lokey,1
six,vic's,1
tie,ngai,1
grew,babu,1
great,interrelate,1
ratio,partlow,1
grain,elaine,1
thai,misapply,1
rec,geck,1
musical,grossnickle,1
aaa,kkk,1
czech,lek,1
tri,keye,1
ice,schweiss,1
pens,pens',1
diversity,steketee,1
yeast,trieste,1
detail,mchale,1
intake,beefsteak,1
lane,cain,1
guild,hilde,1
biological,icicle,1
seas,riese,1
aerospace,aftertastes,1
crash,asche,1
thereby,wrye,1
receipt,crete,1
missed,grist,1
surrey,hurri,1
substantially,coralie,1
steel,deale,1
checks,aix,1
fees,annamese,1
quebec,dweck,1
ignore,boar,1
corn,horne,1
rise,supply's,1
feature,beacher,1
soap,swope,1
speed,aristide,1
size,deffeyes,1
acquire,stier,1
guest,recessed,1
thumb,brum,1
cocktail,palmdale,1
medicaid,barricade,1
benz,when's,1
feb,simsbury,1
man,dianne,1
ray,renee,1
cherry,aerie,1
meet,mete,1
pod,baade,1
toe,kyo,1
inside,retried,1
canal,commerciale,1
row,budreau,1
arcade,buffeted,1
low,riendeau,1
cod,esplanade,1
rely,dwi,1
due,peugh,1
sees,rwandese,1
phase,todays,1
anymore,espectador,1
cruz,blues',1
christ,repriced,1
appropriate,lariat,1
realize,popeye's,1
jay,dumais,1
tear,adaire,1
stays,ablaze,1
trees,frieze,1
attack,bakke,1
unlock,jacques,1
france,schranz,1
eyed,clyde,1
plays,graze,1
sunshine,fischbein,1
unless,pesce,1
juvenile,barbanel,1
strike,speich,1
immune,goon,1
railway,coiffe,1
rainbow,probasco,1
mere,dyneer,1
salary,patrie,1
hairy,alarie,1
bone,hoehn,1
moon,mccune,1
appreciate,airfreight,1
chorus,morris',1
bite,blight,1
wrote,roat,1
calculate,airfreight,1
readily,emslie,1
corps,woehr,1
grows,crose,1
cardiac,knapsack,1
sphere,guinier,1
glance,schranz,1
flyer,pyre,1
accountability,steketee,1
arc,barke,1
rear,belvedere,1
dirty,bertie,1
defence,spens,1
research,bertsche,1
chevrolet,reay,1
chat,batte,1
internet,navarette,1
mai,spry,1
drawn,maune,1
occasionally,miccosukee,1
sons,nuns',1
phrase,chevrolet's,1
visibility,steketee,1
los,grandiose,1
prep,schweppe,1
food,protrude,1
translate,plait,1
divine,schein,1
celebrity,steketee,1
distinct,winked,1
tries,despise,1
principle,subprincipal,1
concentrate,clickbait,1
scheme,sephardim,1
tire,mier,1
dressed,telewest,1
ferry,carie,1
tour,shure,1
broadway,transkei,1
cds,mcaleese,1
associate,jacksdeit,1
tomato,peplow,1
like,bleich,1
delhi,kelly,1
signs,mines',1
supreme,bleam,1
renew,crewe,1
here,buccaneer,1
shoe,katmandu,1
northeast,fleeced,1
laid,heyde,1
cause,okaz,1
fox,jacques',1
trance,schranz,1
view,hugh,1
syntax,aipac's,1
petite,skeet,1
assessed,midwest,1
cute,w00t,1
interface,aftertastes,1
press,acquiesce,1
easy,fabrizi,1
appear,belvedere,1
blair,kahre,1
meyer,pyre,1
oxide,umscheid,1
sen,renne,1
sin,lynne,1
bicycle,nonliturgical,1
fibre,seiber,1
diary,rotisserie,1
whose,leu's,1
steal,shaquille,1
why,kyi,1
inquiry,denucci,1
determine,schurman,1
mechanical,demichele,1
pcs,frese,1
born,bourne,1
tommy,commie,1
identifier,foxfire,1
tex,necks,1
wayne,torain,1
cuisine,kiehn,1
picks,bix,1
cadillac,racetrack,1
begun,tonne,1
supplied,preside,1
wear,lemaire,1
constitute,grapefruit,1
terry,arie,1
hitachi,lagace,1
cole,devaul,1
lucy,perusse,1
whale,mikhail,1
antonio,gladieux,1
digest,repossessed,1
depot,depo,1
fool,bellefeuille,1
bay,bayh,1
street,pete,1
oracle,domical,1
alpine,nonalign,1
palestine,orgotein,1
italic,mallick,1
says,mendez,1
grown,masone,1
piece,kiess,1
christine,ammeen,1
creature,bleacher,1
enemy,mcnamee,1
tax,caq's,1
boat,underwrote,1
metro,jayroe,1
vietnamese,tunis,1
pays,faze,1
mae,o'dea,1
feed,aristide,1
geek,mcpeake,1
iraqi,lackey,1
rep,steppe,1
draw,mcgaugh,1
settle,gretel,1
apply,altai,1
raise,buffets,1
deluxe,yuks,1
nor,heretofore,1
beast,policed,1
allow,cau,1
romance,duran's,1
compaq,sidetrack,1
omaha,duchossois,1
bless,pesce,1
fifteen,hunchine,1
binary,supplee,1
slight,clyte,1
views,transfuse,1
reviewed,denude,1
alcohol,intercontinentale,1
reply,imai,1
soul,mccole,1
green,kiehne,1
theme,rheem,1
rain,spokane,1
chose,sows,1
comply,brunei,1
joan,dethrone,1
lightweight,equate,1
unlike,speich,1
flame,flaim,1
sign,whine,1
broadcast,bypassed,1
memo,lessnau,1
dam,graeme,1
society,steketee,1
advice,weiss,1
doc,gohlke,1
birthday,mangope,1
induced,joost,1
penny,henie,1
rest,celeste,1
rotary,hendrie,1
tel,ruelle,1
usa,vey,1
notes,notes',1
mba,millay,1
annie,manny,1
kentucky,drucie,1
satisfy,nicolai,1
simplified,cambridgeside,1
shoot,lute,1
ascii,kaske,1
furthermore,nycor,1
successfully,rosalie,1
reggae,taipei,1
too,giroux,1
atmosphere,minniear,1
glad,radde,1
concrete,veit,1
you,deblois,1
step,deppe,1
trio,robichaux,1
explain,elane,1
facility,steketee,1
ebay,dominee,1
attacked,detract,1
date,streight,1
combines,heinz,1
maximize,lullabies,1
chance,schranz,1
spice,kies,1
done,luhn,1
device,weis,1
library,braintree,1
applies,kise,1
miami,ramey,1
senate,sennet,1
nudity,steketee,1
delaware,alistair,1
clocks,jacques',1
lines,mines',1
thy,wrye,1
thumbnail,carbondale,1
success,convalesce,1
bowl,bole,1
nest,recessed,1
attitude,lindamood,1
meat,grete,1
dat,platte,1
welfare,markair,1
plain,crayne,1
elsewhere,mohair,1
nat,deslatte,1
critical,tricycle,1
probability,miccosukee,1
shock,vocke,1
war,borre,1
actually,lavallee,1
maine,mcclain,1
anti,tomography,1
nowhere,alistair,1
radio,goddeau,1
rhode,towed,1
til,belleville,1
waste,disgraced,1
principal,lachapelle,1
bob,knobbe,1
gore,spaur,1
cam,damme,1
highlight,guisewite,1
patrol,foale,1
identify,kokusai,1
byte,mcwright,1
mon,palone,1
lazy,blasi,1
dvds,cantonese,1
fairy,prairie,1
champagne,jain,1
con,rapprochement,1
control,ecole,1
league,greig,1
nude,shooed,1
iraq,klocke,1
finally,ottilie,1
offshore,jambor,1
dean,sardine,1
affair,laware,1
july,fye,1
sherman,predetermine,1
