word1,word2,label
japan,carryanne,1
mike,vanschaick,1
stay,beyonce,1
baltimore,jacor,1
resume,mcbroom,1
taxi,maxie,1
freight,misstate,1
real,camille,1
dry,sarraj,1
uruguay,ryohei,1
passed,everlast,1
oak,convoke,1
jun,overdone,1
reproduced,reust,1
overseas,reprise,1
trail,schmale,1
dame,sejm,1
portuguese,sunnis,1
partially,nathalie,1
bye,underly,1
estate,aydt,1
tried,subdivide,1
own,trombone,1
peru,subdue,1
lens,menze,1
compressed,bequest,1
agreed,secede,1
pat,prevatte,1
restrict,handpicked,1
vat,prevatte,1
pain,inane,1
back,chirac,1
max,plack's,1
explore,boer,1
customize,fireflies,1
goal,madole,1
thee,guarani,1
hardcore,antiwar,1
dairy,sherrie,1
discrete,unseat,1
their,multimillionaire,1
fight,satterwhite,1
rocky,lockie,1
survey,palais,1
por,noncore,1
ecological,popsicle,1
dial,belisle,1
specially,nathalie,1
thorough,burrow,1
jose,turvey,1
walnut,pilate,1
votes,ploetz,1
dee,esprit,1
hay,banpais,1
baseline,glickstein,1
dvd,undersea,1
advisory,viguerie,1
assure,amanpour,1
earthquake,daybreak,1
yamaha,philyaw,1
wide,misapplied,1
delay,societe,1
defines,heinze,1
protein,byzantine,1
compatibility,lanktree,1
flux,fuck's,1
ton,outdone,1
carry,barrie,1
mix,dick's,1
rocks,adcox,1
mali,molley,1
possess,coalesce,1
day,societe,1
cho,enslow,1
spy,sarraj,1
ecuador,legore,1
knee,guarani,1
karaoke,mazzocchi,1
six,chick's,1
tie,underly,1
grew,theroux,1
great,sedate,1
ratio,goodlow,1
grain,dushane,1
thai,overfly,1
rec,schneck,1
musical,vesicle,1
aaa,donais,1
czech,quebec,1
tri,overfly,1
ice,preiss,1
pens,menze,1
diversity,crumitie,1
yeast,unreleased,1
detail,schmale,1
intake,daybreak,1
lane,charmain,1
guild,mathilde,1
biological,chronicle,1
seas,cadiz,1
aerospace,reiterates,1
crash,rasche,1
thereby,underlie,1
receipt,excrete,1
missed,delist,1
surrey,currie,1
substantially,nathalie,1
steel,camille,1
checks,govpx,1
fees,sinise,1
quebec,polytech,1
ignore,senor,1
corn,radborne,1
rise,theis,1
feature,beecher,1
soap,koeppe,1
speed,secede,1
size,underlies,1
acquire,styer,1
guest,unimpressed,1
thumb,boyum,1
cocktail,farmingdale,1
medicaid,motorcade,1
benz,henze,1
feb,winberry,1
man,dyane,1
ray,hongwei,1
cherry,merrie,1
meet,gamete,1
pod,riyadh,1
toe,therriault,1
inside,misapplied,1
canal,lasalle,1
row,munro,1
arcade,overplayed,1
low,ungo,1
cod,riyadh,1
rely,sarraj,1
due,chengdu,1
sees,belize,1
phase,paiz,1
anymore,ador,1
cruz,overuse,1
christ,iced,1
appropriate,harriet,1
realize,fireflies,1
jay,lihue,1
tear,multimillionaire,1
stays,blaize,1
trees,cadiz,1
attack,chirac,1
unlock,iraq,1
france,pomeranz,1
eyed,misguide,1
plays,paiz,1
sunshine,ramstein,1
unless,coalesce,1
juvenile,jurisdictional,1
strike,vanschaick,1
immune,xiaoyun,1
railway,curare,1
rainbow,outgo,1
mere,laimbeer,1
salary,henrie,1
hairy,berrie,1
bone,calderon,1
moon,bethune,1
appreciate,paperweight,1
chorus,horace,1
bite,enright,1
wrote,choat,1
calculate,counterweight,1
readily,nathalie,1
corps,postwar,1
grows,overexpose,1
cardiac,ryback,1
sphere,termeer,1
glance,pomeranz,1
flyer,misfire,1
accountability,crumitie,1
arc,starck,1
rear,crochetiere,1
dirty,purtee,1
defence,ferenc,1
research,lerche,1
chevrolet,mcgray,1
chat,prevatte,1
internet,averette,1
mai,underly,1
drawn,foregone,1
occasionally,buckbee,1
sons,kunze,1
phrase,bouquets,1
visibility,crumitie,1
los,morose,1
prep,boztepe,1
food,seclude,1
translate,aydt,1
divine,heyen,1
celebrity,crumitie,1
distinct,interlinked,1
tries,sensationalize,1
principle,oedipal,1
concentrate,featherweight,1
scheme,avrim,1
tire,friar,1
dressed,telequest,1
ferry,cherie,1
tour,inure,1
broadway,sobriquet,1
cds,ortiz,1
associate,iscariot,1
tomato,simcoe,1
like,vanschaick,1
delhi,okelley,1
signs,heinze,1
supreme,seraphim,1
renew,heroux,1
here,puppeteer,1
shoe,llanview,1
northeast,unreleased,1
laid,brocade,1
cause,mieras,1
fox,block's,1
trance,pomeranz,1
view,heroux,1
syntax,rollbacks,1
petite,vanfleet,1
assessed,telequest,1
cute,cahouet,1
interface,reiterates,1
press,coalesce,1
easy,caseze,1
appear,cohere,1
blair,euromobiliare,1
meyer,misfire,1
oxide,cockeyed,1
sen,cheyenne,1
sin,glavine,1
bicycle,problematical,1
fibre,reiber,1
diary,gutherie,1
whose,renews,1
steal,camille,1
why,underlie,1
inquiry,gabrielli,1
determine,derman,1
mechanical,chronicle,1
pcs,sinise,1
born,radborne,1
tommy,dommie,1
identifier,staffordshire,1
tex,peck's,1
wayne,overtrain,1
cuisine,doralin,1
picks,intermix,1
cadillac,lumberjack,1
begun,outdone,1
supplied,subside,1
wear,concessionaire,1
constitute,breadfruit,1
terry,berrie,1
hitachi,morace,1
cole,skoal,1
lucy,deluise,1
whale,curtail,1
antonio,pouliot,1
digest,unimpressed,1
depot,defilippo,1
fool,reule,1
bay,cabaret,1
street,kriete,1
oracle,maniacal,1
alpine,heberlein,1
palestine,heinlein,1
italic,gallick,1
says,jacquez,1
grown,flintstone,1
piece,chambless,1
christine,mcqueen,1
creature,beecher,1
enemy,laramie,1
tax,mack's,1
boat,outvote,1
metro,tarlow,1
vietnamese,devries,1
pays,paiz,1
mae,hongwei,1
feed,intercede,1
geek,henrique,1
iraqi,mackie,1
rep,boztepe,1
draw,ashbaugh,1
settle,gretal,1
apply,sarraj,1
raise,paiz,1
deluxe,fuck's,1
nor,livermore,1
beast,unreleased,1
allow,bilbao,1
romance,pomeranz,1
compaq,flapjack,1
omaha,philyaw,1
bless,coalesce,1
fifteen,florine,1
binary,doubletree,1
slight,satterwhite,1
views,underuse,1
reviewed,preclude,1
alcohol,girozentrale,1
reply,sarraj,1
soul,madole,1
green,ravine,1
theme,avrim,1
rain,inane,1
chose,duclos,1
comply,underlie,1
joan,romanone,1
lightweight,misstate,1
unlike,vanschaick,1
flame,sejm,1
sign,dewine,1
broadcast,outclassed,1
memo,damrow,1
dam,goddamn,1
society,crumitie,1
advice,preiss,1
doc,iraq,1
birthday,curare,1
induced,reust,1
penny,lennie,1
rest,unimpressed,1
rotary,reverie,1
tel,danielle,1
usa,lihue,1
notes,ploetz,1
mba,shinsei,1
annie,manney,1
kentucky,mcluckie,1
satisfy,lorelei,1
simplified,rawhide,1
shoot,impute,1
ascii,mccaskey,1
furthermore,clarcor,1
successfully,nathalie,1
reggae,yohei,1
too,meiyuh,1
atmosphere,retrovir,1
glad,riyadh,1
concrete,offbeat,1
you,theroux,1
step,boztepe,1
trio,petrow,1
explain,duchaine,1
facility,crumitie,1
ebay,curare,1
attacked,transact,1
date,aydt,1
combines,heinze,1
maximize,gadflies,1
chance,pomeranz,1
spice,theiss,1
done,byun,1
device,deiss,1
library,lanktree,1
applies,unwise,1
miami,cammie,1
senate,tenet,1
nudity,crumitie,1
delaware,egyptair,1
clocks,adcox,1
lines,heinze,1
thy,underlie,1
thumbnail,ragsdale,1
success,coalesce,1
bowl,madole,1
nest,unimpressed,1
attitude,devalued,1
meat,excrete,1
dat,prevatte,1
welfare,landfair,1
plain,inane,1
elsewhere,mayfair,1
nat,prevatte,1
critical,chronicle,1
probability,amphorae,1
shock,iraq,1
war,inshore,1
actually,nathalie,1
maine,overtrain,1
anti,wetherbee,1
nowhere,egyptair,1
radio,wardlow,1
rhode,busload,1
til,courville,1
waste,unplaced,1
principal,holsapple,1
bob,miserables,1
gore,lalor,1
cam,goddamn,1
highlight,franklinite,1
patrol,madole,1
identify,lehigh,1
byte,enright,1
mon,mccone,1
lazy,maisie,1
dvds,belize,1
fairy,macquarrie,1
champagne,overtrain,1
con,antoine,1
control,madole,1
league,creagh,1
nude,nonfood,1
iraq,elcock,1
finally,nathalie,1
offshore,boer,1
dean,nadine,1
affair,geniere,1
july,sarraj,1
sherman,ermine,1
retreat,deplete,1
last,unsurpassed,1
jerry,pierie,1
design,devine,1
mil,courville,1
glen,cheyenne,1
symantec,westtech,1
decline,bornstein,1
shade,overplayed,1
doe,forego,1
pix,rick's,1
anne,iran,1
folk,convoke,1
volunteer,briere,1
load,kanode,1
throws,cuperose,1
now,qingdao,1
prague,prolog,1
download,nematode,1
clock,iraq,1
bomb,overstrom,1
nbc,labree,1
cassette,gaudet,1
dirt,erte,1
decor,elnore,1
juan,antoine,1
terrace,ahasuerus,1
generally,nathalie,1
directory,coterie,1
column,arunachalam,1
supplier,enquire,1
break,schlake,1
fbi,overfly,1
anyone,blowgun,1
spyware,landfair,1
proceed,lipide,1
flu,rioux,1
sex,heck's,1
amateur,derbyshire,1
global,grenoble,1
secure,amanpour,1
enhance,pomeranz,1
spin,glavine,1
fate,aydt,1
rate,aydt,1
irs,coalesce,1
straight,restate,1
pharmaceutical,vesicle,1
because,inlaws,1
expertise,ortiz,1
shine,heyen,1
choose,renews,1
derby,ellerbee,1
mad,riyadh,1
abc,moseley,1
brunei,underlie,1
showcase,reiterates,1
belize,absentees,1
hopefully,nathalie,1
foam,jacome,1
accommodate,middleweight,1
surgical,popsicle,1
borough,winnow,1
oman,antoine,1
diane,geurin,1
inquire,schreyer,1
marc,starck,1
underwear,silverware,1
tue,marcou,1
light,impolite,1
wichita,redshaw,1
spine,heyen,1
ensure,bonjour,1
offline,silverstein,1
indices,penikese,1
larry,pierie,1
essay,croquet,1
alphabetical,popsicle,1
hate,aydt,1
clinical,coracle,1
laura,gomorrah,1
say,hongwei,1
floor,elnore,1
tan,louanne,1
show,davault,1
separate,paperweight,1
yellow,othello,1
pal,royale,1
nightmare,landfair,1
yea,overstay,1
enquiry,whedbee,1
domain,dushane,1
skins,hinze,1
afghanistan,bethanne,1
pay,parquet,1
array,donais,1
tray,banpais,1
machinery,comrie,1
nevertheless,coalesce,1
teddy,teddie,1
claire,reher,1
jimmy,timmie,1
logical,vesicle,1
code,busload,1
gary,terrie,1
anytime,sundheim,1
mice,deiss,1
height,nonwhite,1
mate,aydt,1
crude,nonfood,1
brisbane,seatrain,1
specs,govpx,1
gnu,llanview,1
len,cayenne,1
portugal,finagle,1
retain,dushane,1
marie,thierry,1
sample,ampal,1
temple,rempel,1
excuse,tyus,1
june,disharoon,1
prior,rewire,1
laugh,giraffe,1
everyday,jacquet,1
arkansas,ottawa,1
feel,camille,1
thrown,latrone,1
sacrifice,oberweis,1
tons,kunze,1
grad,riyadh,1
paraguay,macrame,1
abilities,penikese,1
test,unimpressed,1
marine,cashion,1
japanese,powerpcs,1
lease,aris,1
salon,antoine,1
protest,hardpressed,1
cents,lentzsch,1
produced,reust,1
scary,viguerie,1
miracle,maniacal,1
propose,tarots,1
anyway,gunatilake,1
bhutan,rosanne,1
ties,upsize,1
wines,heinze,1
technological,chronicle,1
personally,nathalie,1
best,unimpressed,1
finance,pomeranz,1
airplane,floodplain,1
sole,espanol,1
sale,curtail,1
neil,camille,1
southwest,unimpressed,1
appeal,camille,1
specify,magpie,1
ones,frunze,1
ford,laborde,1
donate,hundredweight,1
rescue,ceaucescu,1
graph,giraffe,1
sea,marquis,1
nursery,comrie,1
frontier,cohere,1
acrylic,billick,1
lamb,abram,1
des,coalesce,1
annex,steinbeck's,1
cool,misrule,1
empire,lecuyer,1
facilitate,middleweight,1
burke,rework,1
wow,qingdao,1
met,quellette,1
east,unreleased,1
keys,reprise,1
spain,inane,1
asset,averette,1
stereo,tedrow,1
screen,nadine,1
fare,westair,1
entire,viar,1
kerry,cherie,1
might,nonwhite,1
luke,dziuk,1
treasury,boulangerie,1
tokyo,nicklow,1
are,sharar,1
write,macknight,1
ottawa,philyaw,1
sense,ferenc,1
agrees,sinise,1
accessory,comrie,1
pro,ledlow,1
damn,abram,1
singh,qingming,1
mailman,bethanne,1
stock,iraq,1
vehicle,problematical,1
podcast,outclassed,1
lawsuit,wintermute,1
where,debonair,1
chess,coalesce,1
spec,schneck,1
cow,qingdao,1
factory,menagerie,1
fence,ferenc,1
guess,coalesce,1
money,bunnie,1
thin,glavine,1
try,sarraj,1
cruise,renews,1
wise,underlies,1
sail,schmale,1
protocol,girozentrale,1
brochure,amanpour,1
pack,chirac,1
always,polyphase,1
root,enroute,1
four,inshore,1
complete,unseat,1
graphical,vesicle,1
cheap,tepe,1
probably,liberatore,1
worn,radborne,1
tool,misrule,1
railroad,diode,1
overnight,tonite,1
dies,surmise,1
lance,pomeranz,1
feet,marguerite,1
fear,cohere,1
foo,karatsu,1
hispanic,janick,1
shipped,nondescript,1
dec,schneck,1
came,disclaim,1
magnitude,devalued,1
potentially,nathalie,1
threat,anette,1
ozone,vanloan,1
wheel,camille,1
pad,riyadh,1
lafayette,sobriquet,1
ref,reph,1
indicate,welterweight,1
scale,reil,1
decrease,devries,1
viewed,d'etude,1
thou,qingdao,1
raid,marcade,1
san,dyane,1
tone,mckown,1
don,antoine,1
dow,bilbao,1
photo,roadshow,1
attribute,arrowroot,1
gasoline,ramstein,1
scene,varin,1
sports,schwarze,1
battery,viguerie,1
discussed,readjust,1
theatre,picketer,1
trans,franze,1
bookstore,amcor,1
pantyhose,tempos,1
highs,upsize,1
implies,decriminalize,1
meta,maxzide,1
elite,backseat,1
ware,westair,1
relate,aydt,1
seek,manrique,1
chan,kellyanne,1
route,grassroot,1
century,comrie,1
sec,polytech,1
mood,preclude,1
block,iraq,1
temporarily,nathalie,1
allied,westside,1
spam,goddamn,1
van,fayanne,1
sites,reitz,1
queue,karatsu,1
overview,suzhou,1
rays,polonaise,1
dna,mcgarvey,1
fire,fryer,1
seal,camille,1
blues,peruse,1
record,laborde,1
highway,curari,1
hollow,manalo,1
steady,geddie,1
greece,devries,1
men,cayenne,1
hayes,paiz,1
sol,centrale,1
lottery,labrie,1
study,huldie,1
justify,potpie,1
mesh,wesche,1
mel,arnelle,1
workplace,reiterates,1
true,liou,1
mines,heinze,1
classical,vesicle,1
judy,foodie,1
neighbor,lefebvre,1
road,methode,1
prepaid,palisade,1
las,gosse,1
late,aydt,1
gps,coalesce,1
clay,croquet,1
denied,subdivide,1
praise,conveys,1
spa,hurrah,1
span,kellyanne,1
eagle,siegal,1
paragraph,grandstaff,1
fan,suzanne,1
dare,whitehair,1
denial,belisle,1
fail,schmale,1
venture,trencher,1
peak,manrique,1
skin,glavine,1
amy,mamie,1
everywhere,conair,1
offense,ferenc,1
para,farrah,1
few,heroux,1
dicke,afflik,1
bahrain,ruane,1
premiere,reappear,1
palace,digitalis,1
tune,xiaoyun,1
writes,reitz,1
lee,esprit,1
exclude,nonfood,1
let,lerette,1
female,zapmail,1
cite,forthright,1
hon,antoine,1
headline,zumstein,1
despite,mcknight,1
