word1,word2,label
debate,pait,1
ing,singh,1
nfl,nelle,1
maintain,vane,1
nail,kale,1
breast,professed,1
historical,grossnickle,1
mat,ratte,1
phase,pinochet's,1
highlight,oakite,1
psychological,grossnickle,1
gays,gaze,1
assign,missildine,1
speak,rieke,1
delaware,bundeswehr,1
lamb,stram,1
latitude,countersued,1
noon,inopportune,1
supply,brye,1
contact,medivaced,1
dressed,southwest,1
iraqi,mackey,1
restore,corps,1
switch,fritsche,1
lance,duran's,1
sparc,barke,1
rob,robbe,1
wins,skins',1
seas,disease,1
chi,nearby,1
obtain,mckane,1
lane,petain,1
assure,entrepreneur,1
fleet,jobete,1
jack,brac,1
hollow,calo,1
spirituality,dimare,1
tray,souffle,1
sunrise,justifies,1
nowhere,eyewear,1
verify,jedi,1
unique,feick,1
humanity,steketee,1
suites,zietz,1
deadline,fishbein,1
illinois,destroy,1
spa,bois,1
potato,undertow,1
outside,why'd,1
tail,zale,1
total,motile,1
treaty,sweetie,1
flu,kalamazoo,1
liechtenstein,feline,1
yamaha,brauhau,1
boob,zube,1
memory,demeree,1
lows,decompose,1
throw,campeau,1
brunette,bret,1
steady,eddie,1
hose,snows,1
promote,schaut,1
ware,bair,1
validity,steketee,1
activity,steketee,1
hydraulic,wallick,1
thereby,akai,1
shame,swaim,1
search,bertsche,1
rep,steppe,1
solo,barstow,1
compatibility,d'alessandrini,1
peer,financiere,1
michel,maybelle,1
sense,spens,1
food,prude,1
brake,paik,1
queue,pru,1
hugh,beu,1
based,foretaste,1
deck,svec,1
keep,sepe,1
acute,bebout,1
etc,imbera,1
sen,henne,1
eclipse,chip's,1
dui,chubais,1
disputes,puetz,1
horn,thorne,1
above,labov,1
sara,darragh,1
anywhere,ultrair,1
soviet,associate,1
charity,steketee,1
screen,slovene,1
spice,kleiss,1
article,chimerical,1
roulette,fret,1
west,finessed,1
meat,leete,1
school,boole,1
cradle,wadel,1
tear,skare,1
craig,vague,1
steal,lucile,1
lingerie,paraguay,1
fail,gaile,1
acquire,schier,1
late,freight,1
rome,foam,1
ontario,cadieux,1
lee,chablis,1
speed,swede,1
tier,blogosphere,1
shake,naik,1
marks,parks',1
were,bir,1
ways,swayze,1
breed,stampede,1
our,how're,1
fox,shocks,1
jade,strayed,1
caroline,weinstein,1
handmade,braid,1
cash,asche,1
ratios,montrose,1
indirect,necked,1
finite,courtwright,1
pat,ratte,1
tri,misapply,1
met,yvette,1
qui,geac,1
ran,marianne,1
avenue,peipu,1
classical,follicle,1
locks,vox,1
trance,duran's,1
der,eure,1
erik,gerich,1
combines,karlheinz,1
noble,knoebel,1
notes,notes',1
camera,deborah,1
ratio,budrow,1
designs,mines',1
belize,t's,1
sublime,haim,1
neil,peale,1
size,july's,1
von,aune,1
wheat,chafete,1
advance,duran's,1
refine,vanduyn,1
clara,zarah,1
lifetime,floresheim,1
alice,salus,1
hence,spens,1
sunday,velagrande,1
fence,misrepresents,1
nuke,boock,1
without,reroute,1
translate,kuwait,1
promo,puipoe,1
era,sarah,1
southwest,dressed,1
accessory,patrie,1
though,faux,1
lot,lotte,1
kai,yie,1
absolute,bandicoot,1
rough,fluff,1
dennis,venice,1
advise,i's,1
grow,thibeaux,1
phd,baldree,1
spouse,klaus,1
myspace,aftertastes,1
yahoo,masakazu,1
riverside,codified,1
earthquake,beefsteak,1
photos,montrose,1
fact,sacked,1
evaluate,airfreight,1
direct,bedecked,1
tune,lampoon,1
gps,simplesse,1
heel,steele,1
ease,leas,1
accessibility,steketee,1
phrase,decays,1
viewed,crude,1
pursue,tieu,1
lose,blue's,1
joke,schroeck,1
facilitate,airfreight,1
foo,mailloux,1
willow,ponzo,1
downtown,downe,1
whose,canoes,1
lolita,cheetah,1
sat,deslatte,1
cents,lorenz,1
physical,maricle,1
freeze,three's,1
healthcare,shorthair,1
zen,benne,1
fucked,reconstruct,1
previews,refuse,1
floor,galore,1
implies,bise,1
radar,pointenoire,1
suggest,neste,1
device,heiss,1
affair,bare,1
flour,how're,1
seminar,hectare,1
programme,amsterdam,1
mines,karlheinz,1
upload,episode,1
daddy,maddie,1
twin,prynne,1
disease,bee's,1
wine,resign,1
peak,belgique,1
yeast,unreleased,1
